YEAR,STATE,ITEM,VALUE
2019,ALABAMA,LBPERCOL,42
2019,ALABAMA,NUMCOL,7000
2019,ALABAMA,TOTALLB,294000
2019,ALABAMA,TOTALPRICE,941000
2019,ARIZONA,LBPERCOL,46
2019,ARIZONA,NUMCOL,23000
2019,ARIZONA,TOTALLB,1058000
2019,ARIZONA,TOTALPRICE,2084000
2019,ARKANSAS,LBPERCOL,55
2019,ARKANSAS,NUMCOL,20000
2019,ARKANSAS,TOTALLB,1100000
2019,ARKANSAS,TOTALPRICE,1683000
2019,CALIFORNIA,LBPERCOL,48
2019,CALIFORNIA,NUMCOL,335000
2019,CALIFORNIA,TOTALLB,16080000
2019,CALIFORNIA,TOTALPRICE,25085000
2019,COLORADO,LBPERCOL,46
2019,COLORADO,NUMCOL,32000
2019,COLORADO,TOTALLB,1472000
2019,COLORADO,TOTALPRICE,3150000
2019,FLORIDA,LBPERCOL,45
2019,FLORIDA,NUMCOL,205000
2019,FLORIDA,TOTALLB,9225000
2019,FLORIDA,TOTALPRICE,22878000
2019,GEORGIA,LBPERCOL,33
2019,GEORGIA,NUMCOL,102000
2019,GEORGIA,TOTALLB,3366000
2019,GEORGIA,TOTALPRICE,8785000
2019,HAWAII,LBPERCOL,80
2019,HAWAII,NUMCOL,16000
2019,HAWAII,TOTALLB,1280000
2019,HAWAII,TOTALPRICE,1638000
2019,IDAHO,LBPERCOL,32
2019,IDAHO,NUMCOL,92000
2019,IDAHO,TOTALLB,2944000
2019,IDAHO,TOTALPRICE,4916000
2019,ILLINOIS,LBPERCOL,39
2019,ILLINOIS,NUMCOL,11000
2019,ILLINOIS,TOTALLB,429000
2019,ILLINOIS,TOTALPRICE,1849000
2019,INDIANA,LBPERCOL,55
2019,INDIANA,NUMCOL,9000
2019,INDIANA,TOTALLB,495000
2019,INDIANA,TOTALPRICE,1955000
2019,IOWA,LBPERCOL,55
2019,IOWA,NUMCOL,38000
2019,IOWA,TOTALLB,2090000
2019,IOWA,TOTALPRICE,4682000
2019,KANSAS,LBPERCOL,79
2019,KANSAS,NUMCOL,7000
2019,KANSAS,TOTALLB,553000
2019,KANSAS,TOTALPRICE,1631000
2019,KENTUCKY,LBPERCOL,41
2019,KENTUCKY,NUMCOL,6000
2019,KENTUCKY,TOTALLB,246000
2019,KENTUCKY,TOTALPRICE,1107000
2019,LOUISIANA,LBPERCOL,72
2019,LOUISIANA,NUMCOL,54000
2019,LOUISIANA,TOTALLB,3888000
2019,LOUISIANA,TOTALPRICE,7932000
2019,MAINE,LBPERCOL,35
2019,MAINE,NUMCOL,15000
2019,MAINE,TOTALLB,525000
2019,MAINE,TOTALPRICE,1533000
2019,MICHIGAN,LBPERCOL,50
2019,MICHIGAN,NUMCOL,94000
2019,MICHIGAN,TOTALLB,4700000
2019,MICHIGAN,TOTALPRICE,11092000
2019,MINNESOTA,LBPERCOL,59
2019,MINNESOTA,NUMCOL,118000
2019,MINNESOTA,TOTALLB,6962000
2019,MINNESOTA,TOTALPRICE,11348000
2019,MISSISSIPPI,LBPERCOL,80
2019,MISSISSIPPI,NUMCOL,22000
2019,MISSISSIPPI,TOTALLB,1760000
2019,MISSISSIPPI,TOTALPRICE,3256000
2019,MISSOURI,LBPERCOL,43
2019,MISSOURI,NUMCOL,10000
2019,MISSOURI,TOTALLB,430000
2019,MISSOURI,TOTALPRICE,1428000
2019,MONTANA,LBPERCOL,86
2019,MONTANA,NUMCOL,173000
2019,MONTANA,TOTALLB,14878000
2019,MONTANA,TOTALPRICE,22019000
2019,NEBRASKA,LBPERCOL,52
2019,NEBRASKA,NUMCOL,39000
2019,NEBRASKA,TOTALLB,2028000
2019,NEBRASKA,TOTALPRICE,2961000
2019,NEW JERSEY,LBPERCOL,28
2019,NEW JERSEY,NUMCOL,15000
2019,NEW JERSEY,TOTALLB,420000
2019,NEW JERSEY,TOTALPRICE,1399000
2019,NEW YORK,LBPERCOL,58
2019,NEW YORK,NUMCOL,59000
2019,NEW YORK,TOTALLB,3422000
2019,NEW YORK,TOTALPRICE,15365000
2019,NORTH CAROLINA,LBPERCOL,42
2019,NORTH CAROLINA,NUMCOL,14000
2019,NORTH CAROLINA,TOTALLB,588000
2019,NORTH CAROLINA,TOTALPRICE,2387000
2019,NORTH DAKOTA,LBPERCOL,65
2019,NORTH DAKOTA,NUMCOL,520000
2019,NORTH DAKOTA,TOTALLB,33800000
2019,NORTH DAKOTA,TOTALPRICE,47320000
2019,OHIO,LBPERCOL,67
2019,OHIO,NUMCOL,15000
2019,OHIO,TOTALLB,1005000
2019,OHIO,TOTALPRICE,3437000
2019,OREGON,LBPERCOL,32
2019,OREGON,NUMCOL,87000
2019,OREGON,TOTALLB,2784000
2019,OREGON,TOTALPRICE,5763000
2019,OTHER STATES,LBPERCOL,47
2019,OTHER STATES,NUMCOL,30000
2019,OTHER STATES,TOTALLB,1418000
2019,OTHER STATES,TOTALPRICE,8380000
2019,PENNSYLVANIA,LBPERCOL,50
2019,PENNSYLVANIA,NUMCOL,19000
2019,PENNSYLVANIA,TOTALLB,950000
2019,PENNSYLVANIA,TOTALPRICE,4028000
2019,SOUTH CAROLINA,LBPERCOL,47
2019,SOUTH CAROLINA,NUMCOL,16000
2019,SOUTH CAROLINA,TOTALLB,752000
2019,SOUTH CAROLINA,TOTALPRICE,3768000
2019,SOUTH DAKOTA,LBPERCOL,72
2019,SOUTH DAKOTA,NUMCOL,270000
2019,SOUTH DAKOTA,TOTALLB,19440000
2019,SOUTH DAKOTA,TOTALPRICE,29743000
2019,TENNESSEE,LBPERCOL,57
2019,TENNESSEE,NUMCOL,8000
2019,TENNESSEE,TOTALLB,456000
2019,TENNESSEE,TOTALPRICE,2120000
2019,TEXAS,LBPERCOL,60
2019,TEXAS,NUMCOL,126000
2019,TEXAS,TOTALLB,7560000
2019,TEXAS,TOTALPRICE,17388000
2019,UTAH,LBPERCOL,29
2019,UTAH,NUMCOL,22000
2019,UTAH,TOTALLB,638000
2019,UTAH,TOTALPRICE,1314000
2019,VERMONT,LBPERCOL,48
2019,VERMONT,NUMCOL,6000
2019,VERMONT,TOTALLB,288000
2019,VERMONT,TOTALPRICE,1250000
2019,VIRGINIA,LBPERCOL,39
2019,VIRGINIA,NUMCOL,5000
2019,VIRGINIA,TOTALLB,195000
2019,VIRGINIA,TOTALPRICE,1464000
2019,WASHINGTON,LBPERCOL,35
2019,WASHINGTON,NUMCOL,81000
2019,WASHINGTON,TOTALLB,2835000
2019,WASHINGTON,TOTALPRICE,6010000
2019,WEST VIRGINIA,LBPERCOL,37
2019,WEST VIRGINIA,NUMCOL,6000
2019,WEST VIRGINIA,TOTALLB,222000
2019,WEST VIRGINIA,TOTALPRICE,999000
2019,WISCONSIN,LBPERCOL,47
2019,WISCONSIN,NUMCOL,46000
2019,WISCONSIN,TOTALLB,2162000
2019,WISCONSIN,TOTALPRICE,6464000
2019,WYOMING,LBPERCOL,56
2019,WYOMING,NUMCOL,39000
2019,WYOMING,TOTALLB,2184000
2019,WYOMING,TOTALPRICE,2948000
2018,ALABAMA,LBPERCOL,45
2018,ALABAMA,NUMCOL,6000
2018,ALABAMA,TOTALLB,270000
2018,ALABAMA,TOTALPRICE,1004000
2018,ARIZONA,LBPERCOL,38
2018,ARIZONA,NUMCOL,24000
2018,ARIZONA,TOTALLB,912000
2018,ARIZONA,TOTALPRICE,2745000
2018,ARKANSAS,LBPERCOL,50
2018,ARKANSAS,NUMCOL,28000
2018,ARKANSAS,TOTALLB,1400000
2018,ARKANSAS,TOTALPRICE,2632000
2018,CALIFORNIA,LBPERCOL,41
2018,CALIFORNIA,NUMCOL,335000
2018,CALIFORNIA,TOTALLB,13735000
2018,CALIFORNIA,TOTALPRICE,28981000
2018,COLORADO,LBPERCOL,48
2018,COLORADO,NUMCOL,31000
2018,COLORADO,TOTALLB,1488000
2018,COLORADO,TOTALPRICE,3050000
2018,FLORIDA,LBPERCOL,49
2018,FLORIDA,NUMCOL,215000
2018,FLORIDA,TOTALLB,10535000
2018,FLORIDA,TOTALPRICE,25284000
2018,GEORGIA,LBPERCOL,34
2018,GEORGIA,NUMCOL,98000
2018,GEORGIA,TOTALLB,3332000
2018,GEORGIA,TOTALPRICE,9196000
2018,HAWAII,LBPERCOL,103
2018,HAWAII,NUMCOL,17000
2018,HAWAII,TOTALLB,1751000
2018,HAWAII,TOTALPRICE,3362000
2018,IDAHO,LBPERCOL,31
2018,IDAHO,NUMCOL,96000
2018,IDAHO,TOTALLB,2976000
2018,IDAHO,TOTALPRICE,5833000
2018,ILLINOIS,LBPERCOL,41
2018,ILLINOIS,NUMCOL,11000
2018,ILLINOIS,TOTALLB,451000
2018,ILLINOIS,TOTALPRICE,2178000
2018,INDIANA,LBPERCOL,46
2018,INDIANA,NUMCOL,7000
2018,INDIANA,TOTALLB,322000
2018,INDIANA,TOTALPRICE,1153000
2018,IOWA,LBPERCOL,49
2018,IOWA,NUMCOL,38000
2018,IOWA,TOTALLB,1862000
2018,IOWA,TOTALPRICE,4469000
2018,KANSAS,LBPERCOL,73
2018,KANSAS,NUMCOL,5000
2018,KANSAS,TOTALLB,365000
2018,KANSAS,TOTALPRICE,1132000
2018,KENTUCKY,LBPERCOL,41
2018,KENTUCKY,NUMCOL,4000
2018,KENTUCKY,TOTALLB,164000
2018,KENTUCKY,TOTALPRICE,891000
2018,LOUISIANA,LBPERCOL,83
2018,LOUISIANA,NUMCOL,45000
2018,LOUISIANA,TOTALLB,3735000
2018,LOUISIANA,TOTALPRICE,7134000
2018,MAINE,LBPERCOL,32
2018,MAINE,NUMCOL,12000
2018,MAINE,TOTALLB,384000
2018,MAINE,TOTALPRICE,1144000
2018,MICHIGAN,LBPERCOL,44
2018,MICHIGAN,NUMCOL,97000
2018,MICHIGAN,TOTALLB,4268000
2018,MICHIGAN,TOTALPRICE,10627000
2018,MINNESOTA,LBPERCOL,61
2018,MINNESOTA,NUMCOL,119000
2018,MINNESOTA,TOTALLB,7259000
2018,MINNESOTA,TOTALPRICE,14082000
2018,MISSISSIPPI,LBPERCOL,87
2018,MISSISSIPPI,NUMCOL,20000
2018,MISSISSIPPI,TOTALLB,1740000
2018,MISSISSIPPI,TOTALPRICE,3602000
2018,MISSOURI,LBPERCOL,45
2018,MISSOURI,NUMCOL,9000
2018,MISSOURI,TOTALLB,405000
2018,MISSOURI,TOTALPRICE,1146000
2018,MONTANA,LBPERCOL,92
2018,MONTANA,NUMCOL,160000
2018,MONTANA,TOTALLB,14720000
2018,MONTANA,TOTALPRICE,27968000
2018,NEBRASKA,LBPERCOL,59
2018,NEBRASKA,NUMCOL,40000
2018,NEBRASKA,TOTALLB,2360000
2018,NEBRASKA,TOTALPRICE,4744000
2018,NEW JERSEY,LBPERCOL,31
2018,NEW JERSEY,NUMCOL,13000
2018,NEW JERSEY,TOTALLB,403000
2018,NEW JERSEY,TOTALPRICE,3010000
2018,NEW YORK,LBPERCOL,48
2018,NEW YORK,NUMCOL,56000
2018,NEW YORK,TOTALLB,2688000
2018,NEW YORK,TOTALPRICE,8709000
2018,NORTH CAROLINA,LBPERCOL,33
2018,NORTH CAROLINA,NUMCOL,10000
2018,NORTH CAROLINA,TOTALLB,330000
2018,NORTH CAROLINA,TOTALPRICE,1901000
2018,NORTH DAKOTA,LBPERCOL,72
2018,NORTH DAKOTA,NUMCOL,550000
2018,NORTH DAKOTA,TOTALLB,39600000
2018,NORTH DAKOTA,TOTALPRICE,74052000
2018,OHIO,LBPERCOL,73
2018,OHIO,NUMCOL,14000
2018,OHIO,TOTALLB,1022000
2018,OHIO,TOTALPRICE,3802000
2018,OREGON,LBPERCOL,35
2018,OREGON,NUMCOL,93000
2018,OREGON,TOTALLB,3255000
2018,OREGON,TOTALPRICE,7682000
2018,OTHER STATES,LBPERCOL,39
2018,OTHER STATES,NUMCOL,36000
2018,OTHER STATES,TOTALLB,1399000
2018,OTHER STATES,TOTALPRICE,8422000
2018,PENNSYLVANIA,LBPERCOL,44
2018,PENNSYLVANIA,NUMCOL,19000
2018,PENNSYLVANIA,TOTALLB,836000
2018,PENNSYLVANIA,TOTALPRICE,3252000
2018,SOUTH CAROLINA,LBPERCOL,48
2018,SOUTH CAROLINA,NUMCOL,16000
2018,SOUTH CAROLINA,TOTALLB,768000
2018,SOUTH CAROLINA,TOTALPRICE,2435000
2018,SOUTH DAKOTA,LBPERCOL,47
2018,SOUTH DAKOTA,NUMCOL,255000
2018,SOUTH DAKOTA,TOTALLB,11985000
2018,SOUTH DAKOTA,TOTALPRICE,22891000
2018,TENNESSEE,LBPERCOL,46
2018,TENNESSEE,NUMCOL,7000
2018,TENNESSEE,TOTALLB,322000
2018,TENNESSEE,TOTALPRICE,1323000
2018,TEXAS,LBPERCOL,56
2018,TEXAS,NUMCOL,132000
2018,TEXAS,TOTALLB,7392000
2018,TEXAS,TOTALPRICE,15671000
2018,UTAH,LBPERCOL,41
2018,UTAH,NUMCOL,26000
2018,UTAH,TOTALLB,1066000
2018,UTAH,TOTALPRICE,2239000
2018,VERMONT,LBPERCOL,48
2018,VERMONT,NUMCOL,7000
2018,VERMONT,TOTALLB,336000
2018,VERMONT,TOTALPRICE,1263000
2018,VIRGINIA,LBPERCOL,40
2018,VIRGINIA,NUMCOL,4000
2018,VIRGINIA,TOTALLB,160000
2018,VIRGINIA,TOTALPRICE,1158000
2018,WASHINGTON,LBPERCOL,43
2018,WASHINGTON,NUMCOL,77000
2018,WASHINGTON,TOTALLB,3311000
2018,WASHINGTON,TOTALPRICE,7119000
2018,WEST VIRGINIA,LBPERCOL,37
2018,WEST VIRGINIA,NUMCOL,6000
2018,WEST VIRGINIA,TOTALLB,222000
2018,WEST VIRGINIA,TOTALPRICE,961000
2018,WISCONSIN,LBPERCOL,45
2018,WISCONSIN,NUMCOL,51000
2018,WISCONSIN,TOTALLB,2295000
2018,WISCONSIN,TOTALPRICE,6770000
2018,WYOMING,LBPERCOL,56
2018,WYOMING,NUMCOL,39000
2018,WYOMING,TOTALLB,2184000
2018,WYOMING,TOTALPRICE,4171000
2017,ALABAMA,LBPERCOL,45
2017,ALABAMA,NUMCOL,7000
2017,ALABAMA,TOTALLB,315000
2017,ALABAMA,TOTALPRICE,907000
2017,ARIZONA,LBPERCOL,40
2017,ARIZONA,NUMCOL,22000
2017,ARIZONA,TOTALLB,880000
2017,ARIZONA,TOTALPRICE,1751000
2017,ARKANSAS,LBPERCOL,68
2017,ARKANSAS,NUMCOL,29000
2017,ARKANSAS,TOTALLB,1972000
