YEAR,NUMBEEKEEPERS,NUMCOL,LBPERCOL,TOTALLB,PRICEPERLB,TOTALPRICE
2019,2506,90675,82.0,7444934.2,4.25,31643000
2018,3026,100413,81.4,8172452.2,4.20,34329000
2017,3331,105244,57.8,6086900.6,3.33,20257000
2016,2896,97342,91.3,8880128.8,3.60,31966000
2015,2562,101135,88.6,8972722,3.47,31119000
2014,3262,112800,93.7,10577670.8,3.42,36147000
2013,3155,97500,65.3,6362475.6,3.20,20362000
2012,3200,101000,93.5,9437892.6,2.52,23815000
2011,2900,90000,100.3,9023427.8,2.50,22537000
2010,2600,83150,106.0,8816195.4,2.31,20379000
2009,2500,82000,69.9,5731960,2.47,14133000
2008,2200,80000,57.3,4587772.6,2.00,9190000
2007,2300,76700,77.8,5970056.8,1.57,9354000
2006,2400,76700,108.0,8287091.4,1.43,11870000
2005,2600,76000,117.5,8939653,1.60,14309000
2004,2650,72000,105.8,7619097.6,1.84,14005000
2003,2650,71000,121.3,8604553.8,2.03,17505000
2002,3000,75000,141.8,10634990.4,1.97,20915000
2001,3000,75000,94.6,7096607.4,1.30,9224000
2000,3000,80000,91.9,7358954.8,1.27,9349000
1999,3600,85000,97.0,8245204,0.98,8059000
1998,4000,81000,130.1,10529169.6,0.88,9302000
1997,4100,77000,95.0,7314862.8,1.08,7930000
1996,4100,77000,99.0,7623506.8,1.13,8593000
1995,4300,84000,99.4,8355434,1.15,9644000
1994,4500,85000,73.0,6205949,1.08,6718000
1993,4500,92000,114.6,10546806.4,0.95,10051000
1992,4500,100000,67.9,6781349.6,1.08,7324000
1991,4500,100000,93.7,9362936.2,1.11,10412000
1990,5000,105000,100.1,10500509.8,0.91,9534000
1989,5000,110000,75.0,8249613.2,0.88,7235000
1988,5000,115000,75.0,8624395.2,0.89,7642000
1987,5000,115000,82.0,9429074.2,0.76,7167000
1986,5000,120000,66.1,7936560,1.00,7937000
1985,4500,111000,82.0,9102793.4,0.76,6900000
1984,4500,110000,88.0,9680398.6,0.80,7744000
1983,4500,110000,89.9,9900858.6,0.85,8415000
1982,4200,112000,52.0,5824553.2,0.96,5591000
