YEAR,STATE,NUMCOL,LBPERCOL,TOTALLB,PRICEPERLB,TOTALPRICE
2019,ALABAMA,7000,42,294000,3.2006802721088436,941000
2019,ARIZONA,23000,46,1058000,1.9697542533081285,2084000
2019,ARKANSAS,20000,55,1100000,1.53,1683000
2019,CALIFORNIA,335000,48,16080000,1.5600124378109452,25085000
2019,COLORADO,32000,46,1472000,2.139945652173913,3150000
2019,FLORIDA,205000,45,9225000,2.48,22878000
2019,GEORGIA,102000,33,3366000,2.6099227569815806,8785000
2019,HAWAII,16000,80,1280000,1.2796875,1638000
2019,IDAHO,92000,32,2944000,1.669836956521739,4916000
2019,ILLINOIS,11000,39,429000,4.31002331002331,1849000
2019,INDIANA,9000,55,495000,3.9494949494949494,1955000
2019,IOWA,38000,55,2090000,2.2401913875598085,4682000
2019,KANSAS,7000,79,553000,2.949367088607595,1631000
2019,KENTUCKY,6000,41,246000,4.5,1107000
2019,LOUISIANA,54000,72,3888000,2.0401234567901234,7932000
2019,MAINE,15000,35,525000,2.92,1533000
2019,MICHIGAN,94000,50,4700000,2.36,11092000
2019,MINNESOTA,118000,59,6962000,1.6299913817868428,11348000
2019,MISSISSIPPI,22000,80,1760000,1.85,3256000
2019,MISSOURI,10000,43,430000,3.3209302325581396,1428000
2019,MONTANA,173000,86,14878000,1.4799704261325446,22019000
2019,NEBRASKA,39000,52,2028000,1.4600591715976332,2961000
2019,NEW JERSEY,15000,28,420000,3.330952380952381,1399000
2019,NEW YORK,59000,58,3422000,4.490064289888954,15365000
2019,NORTH CAROLINA,14000,42,588000,4.059523809523809,2387000
2019,NORTH DAKOTA,520000,65,33800000,1.4,47320000
2019,OHIO,15000,67,1005000,3.4199004975124376,3437000
2019,OREGON,87000,32,2784000,2.070043103448276,5763000
2019,PENNSYLVANIA,19000,50,950000,4.24,4028000
2019,SOUTH CAROLINA,16000,47,752000,5.01063829787234,3768000
2019,SOUTH DAKOTA,270000,72,19440000,1.5299897119341563,29743000
2019,TENNESSEE,8000,57,456000,4.649122807017544,2120000
2019,TEXAS,126000,60,7560000,2.3,17388000
2019,UTAH,22000,29,638000,2.0595611285266457,1314000
2019,VERMONT,6000,48,288000,4.340277777777778,1250000
2019,VIRGINIA,5000,39,195000,7.507692307692308,1464000
2019,WASHINGTON,81000,35,2835000,2.119929453262787,6010000
2019,WEST VIRGINIA,6000,37,222000,4.5,999000
2019,WISCONSIN,46000,47,2162000,2.9898242368177614,6464000
2019,WYOMING,39000,56,2184000,1.34981684981685,2948000
2018,ALABAMA,6000,45,270000,3.7185185185185183,1004000
2018,ARIZONA,24000,38,912000,3.0098684210526314,2745000
2018,ARKANSAS,28000,50,1400000,1.88,2632000
2018,CALIFORNIA,335000,41,13735000,2.1100109210047324,28981000
2018,COLORADO,31000,48,1488000,2.049731182795699,3050000
2018,FLORIDA,215000,49,10535000,2.4,25284000
2018,GEORGIA,98000,34,3332000,2.7599039615846337,9196000
2018,HAWAII,17000,103,1751000,1.920045688178184,3362000
2018,IDAHO,96000,31,2976000,1.960013440860215,5833000
2018,ILLINOIS,11000,41,451000,4.829268292682927,2178000
2018,INDIANA,7000,46,322000,3.580745341614907,1153000
2018,IOWA,38000,49,1862000,2.4001074113856067,4469000
2018,KANSAS,5000,73,365000,3.1013698630136988,1132000
2018,KENTUCKY,4000,41,164000,5.432926829268292,891000
2018,LOUISIANA,45000,83,3735000,1.9100401606425703,7134000
2018,MAINE,12000,32,384000,2.9791666666666665,1144000
2018,MICHIGAN,97000,44,4268000,2.489925023430178,10627000
2018,MINNESOTA,119000,61,7259000,1.9399366303898609,14082000
2018,MISSISSIPPI,20000,87,1740000,2.0701149425287357,3602000
2018,MISSOURI,9000,45,405000,2.8296296296296295,1146000
2018,MONTANA,160000,92,14720000,1.9,27968000
2018,NEBRASKA,40000,59,2360000,2.010169491525424,4744000
2018,NEW JERSEY,13000,31,403000,7.4689826302729525,3010000
2018,NEW YORK,56000,48,2688000,3.239955357142857,8709000
