-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  34.6668   Longitude -91.8348 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 79.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1987,             18.73,             23.72,             30.18,             36.13,             40.03,             41.53,             40.66,             37.46,             32.26,             25.87,             20.08,             17.21,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1988,             18.70,             23.78,             30.35,             36.26,             40.10,             41.54,             40.61,             37.36,             32.11,             25.70,             19.96,             17.19,             30.32
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1989,             18.79,             23.83,             30.29,             36.22,             40.07,             41.54,             40.63,             37.39,             32.16,             25.76,             20.00,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1990,             18.76,             23.78,             30.24,             36.18,             40.05,             41.53,             40.65,             37.42,             32.21,             25.80,             20.04,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1991,             18.73,             23.73,             30.19,             36.14,             40.03,             41.53,             40.66,             37.46,             32.26,             25.86,             20.07,             17.21,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1992,             18.70,             23.79,             30.35,             36.26,             40.10,             41.54,             40.61,             37.35,             32.11,             25.69,             19.95,             17.19,             30.32
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1993,             18.80,             23.84,             30.30,             36.22,             40.07,             41.54,             40.62,             37.39,             32.16,             25.76,             20.00,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1994,             18.76,             23.79,             30.24,             36.18,             40.06,             41.53,             40.64,             37.42,             32.20,             25.80,             20.03,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1995,             18.74,             23.74,             30.19,             36.14,             40.03,             41.53,             40.66,             37.46,             32.25,             25.85,             20.07,             17.21,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1996,             18.70,             23.79,             30.36,             36.27,             40.10,             41.54,             40.60,             37.35,             32.10,             25.69,             19.95,             17.19,             30.32
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1997,             18.80,             23.84,             30.31,             36.23,             40.08,             41.54,             40.62,             37.38,             32.14,             25.74,             19.99,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1998,             18.77,             23.79,             30.26,             36.19,             40.06,             41.53,             40.64,             37.41,             32.20,             25.79,             20.03,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,1999,             18.74,             23.74,             30.20,             36.15,             40.04,             41.53,             40.65,             37.45,             32.24,             25.84,             20.06,             17.21,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2000,             18.71,             23.80,             30.37,             36.28,             40.10,             41.54,             40.60,             37.34,             32.09,             25.69,             19.95,             17.19,             30.32
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2001,             18.80,             23.85,             30.31,             36.24,             40.08,             41.54,             40.62,             37.37,             32.14,             25.73,             19.98,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2002,             18.77,             23.81,             30.26,             36.20,             40.06,             41.53,             40.63,             37.41,             32.19,             25.79,             20.02,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2003,             18.75,             23.75,             30.21,             36.16,             40.04,             41.53,             40.65,             37.44,             32.24,             25.83,             20.06,             17.21,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2004,             18.72,             23.81,             30.38,             36.28,             40.11,             41.54,             40.60,             37.33,             32.09,             25.68,             19.94,             17.19,             30.32
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2005,             18.81,             23.86,             30.32,             36.24,             40.09,             41.54,             40.61,             37.36,             32.13,             25.73,             19.98,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2006,             18.78,             23.81,             30.27,             36.21,             40.07,             41.53,             40.63,             37.40,             32.18,             25.78,             20.01,             17.20,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2007,             18.75,             23.76,             30.22,             36.17,             40.04,             41.53,             40.65,             37.43,             32.22,             25.83,             20.05,             17.21,             30.35
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2008,             18.72,             23.63,             30.20,             35.90,             40.06,             41.42,             40.71,             37.26,             32.21,             25.69,             20.01,             17.30,             30.27
34.66681,-91.83479,ALLSKY_TOA_SW_DWN,2009,             18.85,             23.65,             30.21,             36.07,             40.05,             41.50,             40.68,             37.22,             32.20,             25.65,             20.09,             17.22,             30.31
