-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  39.268   Longitude -104.7291 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 2082.66 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1987,             15.68,             20.96,             28.07,             34.97,             39.78,             41.75,             40.67,             36.69,             30.53,             23.35,             17.12,             14.12,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1988,             15.65,             21.02,             28.25,             35.12,             39.86,             41.76,             40.60,             36.56,             30.37,             23.17,             17.00,             14.10,             28.64
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1989,             15.74,             21.07,             28.20,             35.08,             39.84,             41.76,             40.62,             36.60,             30.42,             23.23,             17.03,             14.10,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1990,             15.71,             21.01,             28.14,             35.03,             39.81,             41.75,             40.65,             36.65,             30.48,             23.29,             17.07,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1991,             15.69,             20.96,             28.08,             34.98,             39.78,             41.75,             40.67,             36.69,             30.53,             23.34,             17.11,             14.12,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1992,             15.65,             21.03,             28.26,             35.13,             39.87,             41.76,             40.60,             36.56,             30.36,             23.16,             16.99,             14.10,             28.64
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1993,             15.75,             21.08,             28.20,             35.08,             39.84,             41.76,             40.62,             36.60,             30.41,             23.22,             17.03,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1994,             15.72,             21.03,             28.14,             35.03,             39.82,             41.75,             40.64,             36.64,             30.46,             23.28,             17.07,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1995,             15.69,             20.97,             28.09,             34.99,             39.79,             41.75,             40.66,             36.68,             30.52,             23.33,             17.11,             14.12,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1996,             15.66,             21.03,             28.27,             35.14,             39.88,             41.76,             40.60,             36.55,             30.34,             23.16,             16.98,             14.10,             28.64
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1997,             15.75,             21.09,             28.21,             35.09,             39.84,             41.76,             40.62,             36.59,             30.41,             23.21,             17.03,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1998,             15.72,             21.04,             28.15,             35.04,             39.82,             41.76,             40.64,             36.63,             30.46,             23.27,             17.07,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,1999,             15.69,             20.98,             28.09,             35.00,             39.79,             41.76,             40.65,             36.67,             30.51,             23.32,             17.10,             14.12,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2000,             15.66,             21.04,             28.28,             35.15,             39.88,             41.76,             40.60,             36.54,             30.34,             23.15,             16.98,             14.10,             28.64
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2001,             15.75,             21.09,             28.22,             35.10,             39.85,             41.76,             40.61,             36.58,             30.39,             23.20,             17.02,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2002,             15.73,             21.04,             28.16,             35.05,             39.83,             41.76,             40.63,             36.62,             30.45,             23.26,             17.06,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2003,             15.69,             20.99,             28.10,             35.00,             39.80,             41.76,             40.65,             36.66,             30.50,             23.32,             17.10,             14.12,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2004,             15.67,             21.05,             28.29,             35.15,             39.88,             41.76,             40.59,             36.54,             30.33,             23.14,             16.98,             14.10,             28.64
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2005,             15.76,             21.10,             28.23,             35.11,             39.85,             41.76,             40.61,             36.58,             30.38,             23.20,             17.02,             14.10,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2006,             15.73,             21.05,             28.17,             35.06,             39.83,             41.76,             40.63,             36.62,             30.44,             23.25,             17.06,             14.11,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2007,             15.70,             20.99,             28.11,             35.01,             39.80,             41.76,             40.65,             36.65,             30.49,             23.31,             17.10,             14.12,             28.68
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2008,             15.61,             20.93,             28.21,             35.05,             39.81,             41.89,             40.53,             36.52,             30.42,             23.15,             17.05,             14.03,             28.61
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2009,             15.69,             20.92,             28.07,             34.95,             39.87,             41.63,             40.70,             36.69,             30.54,             23.25,             17.17,             14.04,             28.66
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2010,             15.70,             20.82,             27.99,             34.88,             39.88,             41.59,             40.56,             36.65,             30.44,             23.32,             17.14,             14.04,             28.62
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2011,             15.62,             20.84,             28.00,             34.86,             39.65,             41.61,             40.82,             36.61,             30.67,             23.35,             17.28,             14.04,             28.65
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2012,             15.61,             20.83,             28.23,             34.94,             39.81,             41.69,             40.68,             36.56,             30.42,             23.14,             17.09,             14.02,             28.60
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2013,             15.71,             20.97,             28.26,             34.92,             39.76,             41.42,             40.59,             36.44,             30.17,             23.13,             17.00,             13.99,             28.57
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2014,             15.65,             20.99,             28.14,             34.98,             39.69,             41.45,             40.53,             36.34,             30.24,             23.11,             17.00,             14.00,             28.55
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2015,             15.69,             20.92,             28.07,             34.73,             39.59,             41.61,             40.58,             36.51,             30.36,             23.08,             17.06,             13.56,             28.52
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2016,             15.59,             20.96,             28.23,             34.98,             39.77,             41.53,             40.42,             36.35,             30.20,             22.97,             16.91,             13.99,             28.51
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2017,             15.66,             20.90,             28.05,             34.84,             39.70,             41.54,             40.49,             35.30,             30.37,             23.14,             16.98,             13.99,             28.46
39.26801,-104.72909,ALLSKY_TOA_SW_DWN,2018,             15.70,             21.01,             28.11,             34.89,             39.72,             41.53,             40.46,             36.44,             30.32,             23.08,             17.02,             14.00,             28.37
