-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  27.4626   Longitude -81.5575 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 20.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1987,             22.88,             27.34,             32.75,             37.32,             39.96,             40.83,             40.25,             38.11,             34.27,             29.09,             24.05,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1988,             22.85,             27.38,             32.88,             37.41,             40.00,             40.84,             40.21,             38.04,             34.16,             28.95,             23.95,             21.45,             32.35
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1989,             22.93,             27.43,             32.84,             37.38,             39.99,             40.83,             40.23,             38.06,             34.19,             28.98,             23.98,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1990,             22.91,             27.38,             32.80,             37.35,             39.97,             40.83,             40.24,             38.09,             34.23,             29.03,             24.01,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1991,             22.88,             27.34,             32.75,             37.32,             39.96,             40.83,             40.25,             38.11,             34.26,             29.07,             24.04,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1992,             22.86,             27.39,             32.89,             37.42,             40.00,             40.84,             40.21,             38.03,             34.15,             28.95,             23.94,             21.45,             32.35
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1993,             22.94,             27.43,             32.85,             37.39,             39.99,             40.84,             40.23,             38.06,             34.18,             28.98,             23.97,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1994,             22.91,             27.39,             32.81,             37.35,             39.98,             40.83,             40.24,             38.08,             34.22,             29.02,             24.01,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1995,             22.89,             27.34,             32.76,             37.33,             39.96,             40.83,             40.25,             38.10,             34.26,             29.06,             24.04,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1996,             22.86,             27.40,             32.90,             37.42,             40.01,             40.84,             40.21,             38.03,             34.14,             28.93,             23.94,             21.45,             32.35
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1997,             22.94,             27.44,             32.85,             37.39,             39.99,             40.84,             40.22,             38.06,             34.18,             28.98,             23.97,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1998,             22.91,             27.40,             32.81,             37.36,             39.98,             40.83,             40.24,             38.08,             34.22,             29.02,             24.00,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,1999,             22.89,             27.35,             32.77,             37.33,             39.96,             40.83,             40.25,             38.10,             34.26,             29.05,             24.04,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2000,             22.86,             27.40,             32.90,             37.42,             40.01,             40.84,             40.21,             38.03,             34.14,             28.92,             23.93,             21.44,             32.35
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2001,             22.94,             27.45,             32.86,             37.39,             39.99,             40.84,             40.22,             38.05,             34.17,             28.97,             23.97,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2002,             22.92,             27.41,             32.82,             37.36,             39.98,             40.84,             40.23,             38.07,             34.21,             29.02,             24.00,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2003,             22.89,             27.36,             32.78,             37.34,             39.97,             40.84,             40.24,             38.10,             34.25,             29.05,             24.03,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2004,             22.86,             27.41,             32.91,             37.43,             40.01,             40.84,             40.21,             38.02,             34.13,             28.91,             23.93,             21.44,             32.35
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2005,             22.94,             27.45,             32.87,             37.40,             40.00,             40.84,             40.22,             38.05,             34.17,             28.96,             23.96,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2006,             22.92,             27.41,             32.82,             37.37,             39.98,             40.84,             40.23,             38.07,             34.21,             29.01,             24.00,             21.45,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2007,             22.89,             27.37,             32.78,             37.34,             39.97,             40.84,             40.24,             38.09,             34.24,             29.05,             24.03,             21.46,             32.38
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2008,             22.82,             27.13,             32.92,             37.18,             39.89,             40.84,             40.20,             37.94,             34.20,             28.88,             23.94,             21.50,             32.30
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2009,             22.95,             27.39,             32.79,             37.17,             39.86,             40.92,             40.17,             38.05,             34.27,             29.03,             23.84,             21.45,             32.35
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2010,             22.83,             27.18,             32.71,             37.08,             39.89,             40.67,             40.15,             37.92,             34.29,             28.93,             23.99,             21.50,             32.28
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2011,             22.82,             27.11,             32.72,             37.19,             39.89,             40.86,             40.21,             37.97,             34.20,             29.10,             24.04,             21.44,             32.32
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2012,             22.79,             27.19,             32.89,             37.42,             39.94,             40.74,             40.20,             37.94,             34.34,             28.96,             23.90,             21.48,             32.32
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2013,             22.84,             27.09,             32.73,             37.12,             39.78,             40.65,             40.09,             37.83,             34.04,             28.88,             23.88,             21.42,             32.22
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2014,             22.83,             27.28,             32.82,             37.08,             39.89,             40.75,             40.20,             37.95,             34.14,             28.69,             23.85,             21.43,             32.26
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2015,             22.88,             27.17,             32.64,             37.20,             39.77,             40.76,             40.16,             37.84,             34.19,             28.82,             23.87,             21.43,             32.25
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2016,             22.76,             27.21,             32.86,             37.22,             39.82,             40.72,             40.05,             37.75,             34.03,             28.74,             23.78,             21.41,             32.20
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2017,             22.81,             27.16,             32.73,             37.15,             39.78,             40.72,             40.09,             37.83,             34.15,             28.88,             23.81,             21.42,             32.24
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2018,             22.85,             27.21,             32.78,             37.17,             39.80,             40.72,             40.08,             37.80,             34.12,             28.83,             23.84,             21.42,             32.08
27.46261,-81.55749,ALLSKY_TOA_SW_DWN,2019,             22.82,             27.23,             32.73,             37.15,             39.78,             40.72,             40.08,             37.82,             34.12,             28.87,             23.87,             21.43,             31.98
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1987,             12.76,             13.94,             15.36,             23.41,             22.30,             21.69,             19.93,             18.71,             16.18,             16.38,             12.11,             11.85,             17.06
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1988,             10.13,             15.28,             18.55,             21.05,             22.65,             18.97,             18.23,             17.04,             16.48,             16.57,             13.28,             12.81,             16.75
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1989,             13.23,             16.29,             17.50,             20.64,             24.28,             20.91,             20.39,             20.11,             16.78,             15.69,             14.00,             11.85,             17.64
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1990,             12.81,             15.16,             19.11,             21.97,             21.51,             21.29,             19.09,             18.80,             17.31,             15.17,             14.06,             12.15,             17.37
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1991,             11.66,             14.49,             16.79,             20.05,             19.07,             20.58,             17.22,             18.30,             17.37,             14.76,             12.97,             11.59,             16.23
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1992,             11.96,             14.21,             18.07,             19.74,             23.21,             17.44,             21.36,             16.97,             16.24,             15.18,             11.64,             11.74,             16.49
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1993,             10.98,             12.68,             16.96,             22.47,             22.58,             21.58,             20.18,             18.97,             16.56,             13.23,             12.48,             12.67,             16.80
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1994,             10.70,             13.24,             18.94,             20.91,             22.98,             19.23,             18.16,             16.86,             14.95,             14.07,             12.55,             10.54,             16.11
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1995,             11.97,             15.25,             16.84,             18.90,             24.57,             18.87,             19.95,             18.51,             18.14,             14.57,             14.68,             12.03,             17.03
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1996,             12.98,             15.68,             19.20,             21.57,             22.93,             23.65,             21.40,             19.25,             18.59,             16.46,             14.74,             12.24,             18.22
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1997,             13.43,             15.61,             19.90,             17.98,             21.85,             23.23,             19.93,             19.46,             18.28,             16.05,             12.78,             10.01,             17.38
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1998,             11.88,             14.52,             19.79,             22.61,             21.98,             23.82,             19.66,             19.51,             15.22,             17.12,             14.21,             12.24,             17.73
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,1999,             13.39,             16.79,             20.19,             22.86,             23.55,             19.95,             21.11,             19.47,             16.68,             14.46,             14.43,             12.23,             17.93
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2000,             13.31,             16.28,             19.33,             22.97,             24.14,             21.35,             18.26,             19.16,             16.66,             17.09,             13.95,             11.98,             17.87
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2001,             13.11,             15.48,             17.20,             21.78,             23.64,             21.05,             16.48,             18.46,             16.00,             16.01,             14.02,             12.55,             17.15
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2002,             12.14,             14.58,             19.54,             21.77,             23.15,             18.51,             19.27,             18.72,             17.06,             16.70,             14.13,             11.36,             17.26
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2003,             14.81,             14.90,             17.56,             21.51,             23.76,             18.74,             19.93,             16.23,             16.84,             16.02,             14.24,             13.11,             17.32
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2004,             13.78,             14.16,             20.15,             22.36,             24.74,             21.87,             19.33,             17.76,             15.66,             17.22,             14.96,             11.44,             17.79
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2005,             13.43,             15.85,             17.45,             24.07,             22.11,             17.10,             20.94,             20.63,             18.50,             15.82,             13.51,             11.85,             17.61
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2006,             13.95,             16.25,             21.23,             23.66,             23.74,             21.44,             19.55,             18.83,             18.14,             18.66,             14.22,             10.56,             18.36
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2007,             12.28,             14.74,             20.02,             22.87,             23.48,             21.18,             19.75,             20.44,             16.83,             13.77,             15.11,             12.79,             17.78
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2008,             12.57,             15.08,             18.09,             21.93,             22.98,             20.70,             19.38,             17.33,             18.30,             15.86,             14.07,             12.40,             17.39
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2009,             13.69,             16.82,             18.72,             21.59,             21.06,             22.60,             20.93,             20.04,             18.78,             16.87,             12.80,             10.42,             17.86
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2010,             12.51,             14.49,             18.69,             21.69,             22.50,             23.24,             21.51,             19.44,             19.16,             17.87,             13.69,             13.05,             18.17
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2011,             12.95,             15.64,             19.11,             23.33,             23.93,             22.56,             20.90,             19.50,             18.53,             15.01,             13.77,             12.01,             18.11
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2012,             14.00,             14.83,             19.65,             21.73,             22.21,             19.16,             22.09,             18.89,             17.67,             15.67,             13.65,             11.88,             17.63
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2013,             13.15,             16.13,             19.97,             20.58,             21.92,             19.55,             18.47,             20.78,             17.40,             17.52,             12.00,             11.45,             17.42
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2014,             11.54,             16.00,             17.71,             21.12,             23.58,             22.25,             20.42,             20.06,             16.75,             17.72,             12.84,             11.54,             17.63
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2015,             13.12,             15.23,             19.34,             21.84,             23.95,             21.82,             19.53,             19.54,             17.49,             15.85,             13.57,             11.08,             17.71
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2016,             11.55,             16.16,             17.78,             22.34,             23.25,             20.50,             22.75,             18.23,             18.56,             16.45,             14.18,             12.30,             17.84
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2017,             13.10,             16.89,             20.08,             22.00,             23.90,             17.03,             19.70,             20.76,             18.45,             15.06,             13.74,             12.85,             17.79
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2018,             12.54,             16.26,             20.78,             23.32,             16.16,             22.02,             20.65,             19.87,             18.90,             17.09,             13.84,             11.65,             17.66
27.46261,-81.55749,ALLSKY_SFC_SW_DWN,2019,             13.10,             15.40,             18.34,             22.07,             22.97,             19.20,             20.09,             17.05,             20.12,             16.13,             13.45,             10.78,             17.24
27.46261,-81.55749,PRECTOT,1987,   58.64,   46.70,  213.27,    7.49,  103.81,  156.12,  187.74,  130.32,  168.58,  106.72,  168.49,   12.57, 1360.43
27.46261,-81.55749,PRECTOT,1988,   76.01,   58.45,  116.58,   44.76,   49.50,  113.45,  203.02,  234.08,  152.95,   24.23,  104.91,   25.61, 1203.54
27.46261,-81.55749,PRECTOT,1989,   53.08,   12.64,   70.23,   64.80,   34.83,  199.94,  177.08,  180.76,  185.46,   72.35,   28.35,   81.78, 1161.30
27.46261,-81.55749,PRECTOT,1990,   12.77,   85.92,   39.87,   36.11,   90.65,  179.45,  200.46,  223.55,  113.85,   80.66,   17.39,   16.15, 1096.81
27.46261,-81.55749,PRECTOT,1991,  121.94,   43.27,   96.82,  104.05,  180.71,  231.62,  250.84,  162.36,  126.98,   72.50,   22.07,   12.89, 1426.04
27.46261,-81.55749,PRECTOT,1992,   88.02,  112.68,   65.71,   87.39,   35.67,  426.60,  138.54,  259.52,  147.52,   66.86,   61.03,   20.84, 1510.39
27.46261,-81.55749,PRECTOT,1993,  151.49,   68.75,  135.99,   70.69,   70.83,  124.74,  148.22,  169.11,  152.73,  152.17,   20.91,   28.21, 1293.82
27.46261,-81.55749,PRECTOT,1994,   80.07,   52.74,   53.14,   91.16,   61.93,  230.58,  190.73,  211.60,  278.65,   96.33,   86.69,   86.37, 1519.99
27.46261,-81.55749,PRECTOT,1995,   78.54,   55.09,   61.95,   87.50,   53.32,  267.07,  252.14,  287.88,  165.23,  202.91,   30.87,   33.96, 1576.46
27.46261,-81.55749,PRECTOT,1996,   71.11,   34.19,  125.79,   52.18,  133.42,  195.59,  104.26,  141.81,  109.83,  113.33,   15.55,   34.92, 1131.96
