-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  20.7868   Longitude -156.2866 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 190.79 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1987,             26.80,             30.58,             34.84,             37.98,             39.38,             39.66,             39.35,             38.24,             35.78,             31.88,             27.75,             25.54,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1988,             26.77,             30.62,             34.94,             38.03,             39.40,             39.66,             39.34,             38.20,             35.69,             31.78,             27.67,             25.53,             33.97
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1989,             26.85,             30.66,             34.90,             38.01,             39.40,             39.66,             39.34,             38.21,             35.72,             31.81,             27.69,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1990,             26.82,             30.62,             34.88,             37.99,             39.39,             39.66,             39.35,             38.23,             35.74,             31.85,             27.72,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1991,             26.80,             30.59,             34.84,             37.98,             39.38,             39.66,             39.35,             38.24,             35.77,             31.88,             27.75,             25.54,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1992,             26.78,             30.63,             34.94,             38.03,             39.40,             39.66,             39.34,             38.20,             35.69,             31.78,             27.66,             25.52,             33.97
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1993,             26.85,             30.66,             34.91,             38.01,             39.40,             39.66,             39.34,             38.21,             35.71,             31.81,             27.69,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1994,             26.83,             30.63,             34.88,             38.00,             39.39,             39.66,             39.35,             38.23,             35.74,             31.85,             27.72,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1995,             26.80,             30.59,             34.85,             37.98,             39.38,             39.66,             39.35,             38.23,             35.77,             31.88,             27.75,             25.54,             33.99
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1996,             26.78,             30.63,             34.94,             38.03,             39.40,             39.66,             39.34,             38.20,             35.68,             31.77,             27.66,             25.52,             33.97
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1997,             26.85,             30.67,             34.91,             38.02,             39.40,             39.66,             39.34,             38.21,             35.71,             31.80,             27.69,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1998,             26.84,             30.63,             34.88,             38.00,             39.39,             39.66,             39.35,             38.22,             35.74,             31.83,             27.72,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,1999,             26.81,             30.60,             34.85,             37.98,             39.39,             39.66,             39.35,             38.23,             35.76,             31.86,             27.74,             25.54,             33.99
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2000,             26.78,             30.64,             34.95,             38.04,             39.40,             39.66,             39.33,             38.19,             35.68,             31.75,             27.66,             25.52,             33.97
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2001,             26.86,             30.68,             34.92,             38.02,             39.40,             39.66,             39.34,             38.21,             35.70,             31.79,             27.69,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2002,             26.84,             30.64,             34.88,             38.01,             39.40,             39.66,             39.34,             38.22,             35.73,             31.82,             27.71,             25.53,             33.99
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2003,             26.81,             30.61,             34.85,             37.99,             39.39,             39.66,             39.35,             38.23,             35.75,             31.85,             27.74,             25.53,             33.99
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2004,             26.79,             30.65,             34.95,             38.04,             39.40,             39.66,             39.33,             38.19,             35.67,             31.75,             27.65,             25.52,             33.97
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2005,             26.86,             30.69,             34.93,             38.02,             39.40,             39.66,             39.34,             38.20,             35.70,             31.78,             27.68,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2006,             26.84,             30.65,             34.89,             38.01,             39.40,             39.66,             39.34,             38.22,             35.73,             31.82,             27.70,             25.53,             34.00
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2007,             26.81,             30.61,             34.86,             37.99,             39.39,             39.66,             39.35,             38.23,             35.75,             31.85,             27.74,             25.53,             33.99
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2008,             26.53,             30.56,             34.92,             37.89,             39.07,             39.37,             39.21,             38.29,             35.57,             31.84,             27.51,             25.46,             33.86
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2009,             26.50,             30.45,             34.77,             38.01,             39.17,             39.50,             39.03,             38.27,             35.85,             31.86,             27.49,             25.43,             33.87
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2010,             26.78,             30.52,             35.14,             37.87,             39.17,             39.51,             39.32,             38.12,             35.76,             31.90,             27.62,             25.48,             33.95
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2011,             26.51,             30.56,             34.76,             37.86,             39.15,             39.79,             39.10,             38.21,             35.98,             31.83,             27.57,             25.23,             33.89
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2012,             26.56,             30.31,             34.74,             37.91,             39.20,             39.56,             39.34,             38.01,             35.78,             31.78,             27.57,             25.54,             33.86
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2013,             26.64,             30.70,             34.87,             37.69,             39.13,             39.44,             38.98,             37.93,             35.68,             31.61,             27.34,             25.45,             33.80
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2014,             26.51,             30.42,             34.93,             37.98,             39.15,             39.40,             38.92,             38.00,             35.81,             31.76,             27.51,             25.42,             33.83
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2015,             26.80,             30.39,             34.78,             37.77,             39.18,             39.24,             39.06,             37.94,             35.78,             31.60,             27.47,             25.34,             33.79
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2016,             26.51,             30.50,             34.91,             37.90,             39.11,             39.41,             39.03,             37.97,             35.59,             31.63,             27.38,             25.33,             33.78
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2017,             26.56,             29.32,             34.82,             37.86,             39.09,             38.06,             39.05,             38.01,             35.67,             30.74,             27.41,             25.33,             33.53
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2018,             26.59,             30.50,             34.85,             37.87,             39.09,             39.42,             39.04,             38.00,             35.64,             31.70,             27.44,             25.34,             33.41
20.78681,-156.28659,ALLSKY_TOA_SW_DWN,2019,             26.57,             30.52,             34.78,             37.85,             39.09,             39.42,             39.05,             38.01,             35.65,             31.73,             27.46,             25.35,             33.25
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1987,             16.37,             19.97,             25.00,             26.28,             26.71,             28.76,             28.05,             27.63,             23.48,             19.49,             18.16,             14.11,             22.84
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1988,             16.51,             21.91,             23.97,             27.13,             27.72,             26.68,             28.20,             27.07,             24.39,             21.58,             17.46,             15.56,             23.18
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1989,             16.73,             16.50,             22.24,             21.60,             25.92,             26.61,             26.23,             25.52,             24.38,             18.40,             16.57,             16.29,             21.45
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1990,             13.76,             18.58,             21.62,             24.98,             28.24,             27.40,             27.53,             26.48,             23.20,             20.60,             13.65,             13.82,             21.67
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1991,             17.38,             20.59,             19.08,             26.43,             27.47,             27.52,             26.93,             26.12,             24.90,             21.50,             17.42,             16.19,             22.63
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1992,             16.77,             18.88,             24.88,             26.45,             26.38,             28.44,             26.86,             25.06,             23.00,             19.78,             15.49,             15.03,             22.26
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1993,             15.81,             21.31,             24.95,             26.88,             28.16,             28.62,             24.82,             27.12,             24.95,             20.07,             19.42,             17.22,             23.28
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1994,             16.85,             17.38,             21.91,             27.02,             27.27,             28.13,             25.92,             26.33,             24.17,             22.12,             17.51,             16.85,             22.65
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1995,             16.86,             20.06,             24.35,             25.95,             27.98,             28.52,             26.87,             27.04,             25.52,             22.80,             17.73,             17.26,             23.43
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1996,             16.31,             19.03,             24.55,             26.66,             27.79,             28.22,             27.81,             28.10,             24.86,             22.34,             14.74,             15.48,             23.01
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1997,             17.23,             22.13,             22.64,             26.38,             28.23,             28.45,             27.96,             28.03,             25.46,             21.97,             17.94,             16.79,             23.60
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1998,             18.31,             21.36,             25.42,             26.88,             26.20,             27.34,             28.56,             28.04,             25.79,             21.63,             17.34,             15.77,             23.56
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,1999,             17.92,             21.11,             24.74,             27.41,             26.65,             29.18,             28.84,             28.19,             26.44,             21.03,             17.94,             15.79,             23.77
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2000,             18.38,             22.34,             25.58,             26.37,             28.50,             29.01,             27.42,             27.30,             25.03,             22.36,             18.31,             18.13,             24.06
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2001,             18.32,             19.26,             23.64,             25.68,             28.76,             27.69,             28.37,             27.72,             25.34,             22.40,             16.97,             15.78,             23.36
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2002,             16.05,             21.11,             23.81,             25.27,             24.11,             28.29,             27.96,             25.67,             24.97,             21.23,             18.58,             18.15,             22.93
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2003,             17.85,             21.23,             24.05,             26.29,             28.23,             28.39,             28.02,             28.07,             25.40,             21.27,             18.13,             15.12,             23.51
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2004,             15.74,             19.24,             20.28,             26.83,             27.16,             27.86,             29.15,             27.50,             25.54,             20.90,             17.86,             15.53,             22.80
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2005,             16.95,             20.16,             22.01,             27.42,             28.25,             27.35,             28.26,             27.90,             25.51,             21.54,             17.74,             16.78,             23.34
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2006,             16.80,             18.41,             15.32,             25.43,             27.79,             27.54,             27.27,             25.87,             24.08,             18.68,             16.57,             15.94,             21.65
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2007,             16.18,             19.66,             21.59,             25.93,             26.52,             27.47,             26.64,             26.16,             23.37,             21.11,             17.21,             14.33,             22.19
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2008,             17.10,             18.65,             23.16,             23.72,             26.17,             26.48,             26.03,             25.91,             23.48,             19.97,             16.85,             14.40,             21.84
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2009,             16.48,             18.95,             19.84,             22.47,             25.57,             26.56,             25.63,             25.74,             24.02,             20.99,             17.28,             17.03,             21.73
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2010,             17.33,             19.87,             23.01,             25.24,             26.54,             26.85,             26.27,             26.14,             24.17,             20.65,             17.73,             14.93,             22.40
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2011,             16.35,             18.63,             21.87,             24.56,             24.92,             24.91,             26.28,             25.55,             23.99,             20.18,             16.73,             15.34,             21.62
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2012,             17.25,             19.57,             21.63,             24.94,             27.04,             25.69,             26.23,             25.69,             23.82,             20.92,             17.10,             15.33,             22.10
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2013,             16.71,             20.16,             20.66,             24.74,             25.05,             26.13,             26.04,             26.14,             23.65,             19.93,             16.25,             15.94,             21.79
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2014,             16.27,             17.44,             20.88,             23.67,             24.67,             26.42,             25.53,             25.58,             23.50,             19.28,             16.96,             15.19,             21.30
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2015,             17.75,             18.98,             20.18,             24.56,             25.34,             26.19,             26.13,             23.75,             22.48,             20.32,             16.59,             16.42,             21.57
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2016,             17.68,             20.30,             22.61,             25.21,             24.50,             25.67,             25.38,             25.09,             22.37,             19.77,             17.46,             11.89,             21.49
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2017,             17.47,             17.68,             22.07,             24.64,             26.55,             25.23,             25.96,             25.68,             24.31,             19.06,             16.86,             15.20,             21.67
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2018,             16.97,             16.15,             18.25,             19.06,             22.39,             26.10,             24.85,             22.26,             23.55,             18.95,             17.42,             15.98,             19.93
20.78681,-156.28659,ALLSKY_SFC_SW_DWN,2019,             16.83,             18.65,             22.66,             25.38,             26.26,             25.82,             26.40,             24.13,             23.19,             20.66,             17.42,             15.06,             21.54
20.78681,-156.28659,PRECTOT,1987,  134.88,   48.04,   26.15,   53.59,   66.60,   31.84,   47.97,   19.24,   38.82,   50.91,   24.72,   88.15,  630.92
20.78681,-156.28659,PRECTOT,1988,   61.53,   32.40,   55.85,   54.68,   22.80,   15.22,    8.86,   19.76,   18.44,   15.26,   20.53,   39.58,  364.92
20.78681,-156.28659,PRECTOT,1989,   41.87,   72.79,   53.77,   56.69,   41.87,   22.67,   39.87,   18.36,   11.97,   41.57,   32.46,   40.51,  474.39
20.78681,-156.28659,PRECTOT,1990,   93.05,   70.50,   71.38,  106.84,   42.46,   28.56,   19.28,   18.09,   15.49,   39.13,  144.39,  109.64,  758.80
20.78681,-156.28659,PRECTOT,1991,   42.85,   21.28,   91.41,    7.37,    9.95,    7.59,   20.51,   21.47,   33.16,   13.30,   19.50,   36.06,  324.44
20.78681,-156.28659,PRECTOT,1992,   39.88,   20.70,   14.67,   11.03,   14.74,   13.31,   10.61,   22.83,   22.22,   30.75,   47.47,   43.13,  291.35
20.78681,-156.28659,PRECTOT,1993,   31.46,    7.02,    8.57,    5.38,    5.47,    3.54,   22.70,    9.69,   14.01,   30.69,    9.88,   11.92,  160.33
20.78681,-156.28659,PRECTOT,1994,   36.45,   76.67,   36.06,    7.40,   12.95,    8.69,   18.49,   14.06,   14.34,   13.01,   21.18,   16.12,  275.43
20.78681,-156.28659,PRECTOT,1995,   16.15,   23.06,   19.25,   16.94,    9.32,    6.01,    7.86,    8.95,    7.93,   15.75,   22.31,   17.55,  171.06
20.78681,-156.28659,PRECTOT,1996,   77.20,   32.83,   29.37,   12.13,    9.14,    8.46,   10.37,    8.49,   10.45,   10.51,   59.86,   45.30,  314.11
20.78681,-156.28659,PRECTOT,1997,   38.97,    9.04,   40.67,   16.26,   16.55,    7.68,   19.33,    7.31,   14.76,   18.10,   15.40,   13.84,  217.91
20.78681,-156.28659,PRECTOT,1998,   21.67,   16.84,    6.65,    7.87,   30.00,   25.03,   12.06,    7.97,    6.65,   10.68,   30.36,   34.97,  210.75
20.78681,-156.28659,PRECTOT,1999,   33.49,   34.62,   34.47,   29.02,   26.56,   14.44,   10.22,    8.15,    8.58,   27.13,   19.30,   32.16,  278.15
20.78681,-156.28659,PRECTOT,2000,   24.49,   11.93,   16.75,   23.12,    8.35,    7.23,   29.46,   18.95,   24.09,   20.09,   24.19,   17.31,  225.95
20.78681,-156.28659,PRECTOT,2001,   30.69,   36.15,   17.22,   43.51,   16.47,   19.58,   13.66,   20.63,   26.89,   59.77,   93.08,   76.74,  454.37
20.78681,-156.28659,PRECTOT,2002,  117.56,   53.13,   69.25,   39.49,   59.35,   30.36,   33.99,   40.72,   25.50,   76.97,   21.86,   29.01,  597.18
20.78681,-156.28659,PRECTOT,2003,   81.33,   93.39,   64.56,   35.88,   12.96,   21.86,   31.72,   41.94,   30.64,   35.41,   74.93,  111.09,  635.70
