-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  37.7206   Longitude -84.7801 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 277.38 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1987,             16.91,             22.08,             28.94,             35.46,             39.91,             41.69,             40.69,             37.03,             31.26,             24.38,             18.31,             15.36,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1988,             16.88,             22.14,             29.12,             35.61,             39.99,             41.70,             40.63,             36.91,             31.09,             24.20,             18.19,             15.34,             29.33
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1989,             16.97,             22.19,             29.06,             35.57,             39.96,             41.70,             40.66,             36.94,             31.14,             24.26,             18.23,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1990,             16.94,             22.14,             29.01,             35.52,             39.94,             41.69,             40.67,             36.99,             31.20,             24.32,             18.27,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1991,             16.91,             22.09,             28.95,             35.47,             39.91,             41.69,             40.69,             37.02,             31.25,             24.37,             18.31,             15.36,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1992,             16.88,             22.15,             29.12,             35.61,             39.99,             41.70,             40.63,             36.90,             31.08,             24.20,             18.19,             15.34,             29.33
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1993,             16.97,             22.20,             29.06,             35.57,             39.96,             41.70,             40.65,             36.94,             31.14,             24.25,             18.23,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1994,             16.94,             22.14,             29.01,             35.53,             39.94,             41.69,             40.67,             36.98,             31.19,             24.31,             18.27,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1995,             16.91,             22.09,             28.96,             35.49,             39.92,             41.69,             40.68,             37.02,             31.24,             24.36,             18.30,             15.36,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1996,             16.88,             22.15,             29.13,             35.62,             39.99,             41.70,             40.63,             36.90,             31.08,             24.19,             18.18,             15.34,             29.33
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1997,             16.98,             22.21,             29.08,             35.58,             39.97,             41.70,             40.65,             36.94,             31.13,             24.24,             18.22,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1998,             16.95,             22.15,             29.02,             35.53,             39.94,             41.69,             40.66,             36.97,             31.18,             24.30,             18.26,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,1999,             16.91,             22.10,             28.96,             35.49,             39.92,             41.69,             40.68,             37.01,             31.23,             24.35,             18.30,             15.36,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,2000,             16.89,             22.16,             29.14,             35.63,             39.99,             41.70,             40.63,             36.89,             31.07,             24.18,             18.17,             15.33,             29.33
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,2001,             16.98,             22.21,             29.09,             35.59,             39.97,             41.70,             40.64,             36.93,             31.12,             24.24,             18.21,             15.34,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,2002,             16.95,             22.16,             29.03,             35.54,             39.95,             41.69,             40.66,             36.97,             31.17,             24.29,             18.25,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,2003,             16.92,             22.11,             28.97,             35.49,             39.92,             41.69,             40.68,             37.01,             31.23,             24.35,             18.29,             15.35,             29.37
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,2004,             16.89,             22.17,             29.15,             35.64,             40.00,             41.70,             40.62,             36.88,             31.06,             24.17,             18.17,             15.34,             29.33
37.72061,-84.78009,ALLSKY_TOA_SW_DWN,2005,             16.99,             22.22,             29.09,             35.59,             39.98,             41.70,             40.64,             36.92,             31.11,             24.23,             18.21,             15.34,             29.37
