-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  42.9446   Longitude -84.4149 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 258.76 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1987,             13.84,             19.24,             26.70,             34.16,             39.51,             41.78,             40.57,             36.11,             29.39,             21.76,             15.31,             12.27,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1988,             13.80,             19.30,             26.90,             34.33,             39.61,             41.79,             40.49,             35.97,             29.20,             21.57,             15.19,             12.25,             27.55
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1989,             13.90,             19.35,             26.83,             34.27,             39.58,             41.79,             40.52,             36.02,             29.26,             21.63,             15.23,             12.25,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1990,             13.87,             19.30,             26.77,             34.22,             39.55,             41.79,             40.54,             36.06,             29.32,             21.69,             15.27,             12.26,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1991,             13.84,             19.24,             26.71,             34.17,             39.52,             41.78,             40.56,             36.10,             29.38,             21.75,             15.31,             12.27,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1992,             13.81,             19.31,             26.90,             34.33,             39.62,             41.79,             40.49,             35.96,             29.19,             21.57,             15.19,             12.24,             27.55
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1993,             13.90,             19.37,             26.84,             34.28,             39.59,             41.79,             40.51,             36.01,             29.25,             21.62,             15.22,             12.25,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1994,             13.87,             19.30,             26.78,             34.23,             39.56,             41.79,             40.53,             36.05,             29.31,             21.69,             15.26,             12.26,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1995,             13.84,             19.25,             26.72,             34.18,             39.53,             41.78,             40.56,             36.10,             29.37,             21.74,             15.30,             12.26,             27.59
42.94461,-84.41489,ALLSKY_TOA_SW_DWN,1996,             13.82,             19.31,             26.92,             34.34,             39.62,             41.79,             40.49,             35.95,             29.18,             21.56,             15.18,             12.24,             27.55
