-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  46.4849   Longitude -109.7059 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1506.96 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1987,             11.37,             16.88,             24.76,             32.94,             39.05,             41.71,             40.32,             35.21,             27.74,             19.55,             12.89,              9.82,             26.06
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1988,             11.34,             16.95,             24.97,             33.12,             39.16,             41.73,             40.23,             35.04,             27.53,             19.36,             12.76,              9.80,             26.02
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1989,             11.44,             17.00,             24.91,             33.07,             39.13,             41.73,             40.26,             35.10,             27.60,             19.43,             12.80,              9.80,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1990,             11.41,             16.94,             24.84,             33.01,             39.08,             41.73,             40.29,             35.15,             27.66,             19.49,             12.85,              9.81,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1991,             11.38,             16.89,             24.77,             32.95,             39.05,             41.71,             40.31,             35.20,             27.73,             19.55,             12.88,              9.82,             26.06
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1992,             11.35,             16.95,             24.99,             33.14,             39.17,             41.73,             40.23,             35.04,             27.53,             19.35,             12.75,              9.80,             26.02
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1993,             11.44,             17.01,             24.92,             33.08,             39.13,             41.73,             40.26,             35.09,             27.59,             19.41,             12.79,              9.80,             26.06
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1994,             11.41,             16.95,             24.85,             33.01,             39.09,             41.73,             40.28,             35.14,             27.66,             19.48,             12.84,              9.81,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1995,             11.38,             16.90,             24.78,             32.96,             39.06,             41.72,             40.31,             35.19,             27.72,             19.54,             12.88,              9.82,             26.06
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1996,             11.36,             16.96,             24.99,             33.14,             39.17,             41.73,             40.23,             35.03,             27.52,             19.35,             12.75,              9.80,             26.02
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1997,             11.45,             17.02,             24.93,             33.08,             39.13,             41.72,             40.25,             35.08,             27.58,             19.41,             12.79,              9.80,             26.06
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1998,             11.42,             16.96,             24.86,             33.03,             39.10,             41.73,             40.28,             35.13,             27.64,             19.47,             12.83,              9.81,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,1999,             11.39,             16.90,             24.79,             32.97,             39.06,             41.72,             40.31,             35.18,             27.71,             19.53,             12.87,              9.82,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2000,             11.36,             16.97,             25.00,             33.15,             39.17,             41.73,             40.22,             35.02,             27.51,             19.34,             12.75,              9.80,             26.02
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2001,             11.45,             17.03,             24.94,             33.09,             39.14,             41.72,             40.24,             35.07,             27.57,             19.40,             12.79,              9.80,             26.06
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2002,             11.42,             16.97,             24.87,             33.04,             39.10,             41.72,             40.27,             35.13,             27.63,             19.46,             12.82,              9.81,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2003,             11.39,             16.91,             24.80,             32.98,             39.07,             41.72,             40.30,             35.18,             27.70,             19.52,             12.87,              9.82,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2004,             11.36,             16.98,             25.01,             33.16,             39.18,             41.73,             40.22,             35.01,             27.50,             19.33,             12.74,              9.80,             26.02
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2005,             11.46,             17.03,             24.95,             33.10,             39.14,             41.73,             40.24,             35.07,             27.56,             19.39,             12.78,              9.80,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2006,             11.43,             16.98,             24.88,             33.05,             39.11,             41.73,             40.27,             35.12,             27.63,             19.45,             12.82,              9.81,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2007,             11.39,             16.92,             24.81,             32.98,             39.08,             41.72,             40.29,             35.17,             27.69,             19.51,             12.86,              9.81,             26.07
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2008,             11.25,             16.85,             24.83,             32.97,             39.03,             41.76,             40.32,             35.12,             27.53,             19.42,             12.74,              9.80,             25.99
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2009,             11.37,             16.94,             24.78,             32.96,             39.00,             41.76,             40.09,             35.28,             27.58,             19.49,             12.81,              9.81,             26.03
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2010,             11.31,             16.77,             24.75,             32.97,             38.89,             41.65,             40.31,             35.18,             27.84,             19.46,             12.93,              9.83,             26.04
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2011,             11.27,             16.83,             24.64,             32.89,             38.91,             41.60,             40.01,             35.26,             27.78,             19.62,             12.91,              9.82,             26.01
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2012,             11.26,             16.86,             24.89,             32.97,             38.99,             41.64,             40.23,             35.13,             27.60,             19.35,             12.79,              9.84,             25.98
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2013,             11.35,             16.98,             24.88,             33.00,             39.02,             41.64,             40.00,             34.94,             27.47,             19.33,             12.69,              9.77,             25.96
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2014,             11.34,             16.81,             24.81,             32.89,             38.93,             41.54,             39.93,             34.93,             27.43,             19.31,             12.72,              9.79,             25.91
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2015,             11.33,             16.89,             24.73,             32.92,             38.90,             41.75,             40.05,             35.16,             27.58,             19.39,             12.77,              9.79,             25.98
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2016,             11.24,             16.95,             24.94,             33.04,             38.99,             41.57,             39.98,             34.86,             27.35,             19.21,             12.64,              9.77,             25.90
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2017,             11.30,             16.89,             24.74,             32.86,             38.89,             41.57,             40.08,             35.03,             27.55,             19.39,             12.68,              9.78,             25.95
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2018,             11.26,             17.01,             24.81,             32.97,             38.92,             41.57,             40.04,             34.97,             27.48,             19.33,             12.72,              9.78,             25.75
46.48491,-109.70589,ALLSKY_TOA_SW_DWN,2019,             11.29,             16.77,             24.74,             32.86,             38.89,             41.56,             40.06,             35.02,             27.56,             19.51,             12.76,              9.79,             25.58
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1987,              5.89,              9.38,             13.10,             19.55,             20.49,             24.97,             21.39,             20.41,             16.32,             11.31,              7.01,              5.26,             14.61
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1988,              5.53,              9.02,             12.49,             17.30,             22.26,             24.27,             24.79,             20.48,             15.15,             10.67,              6.19,              4.63,             14.41
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1989,              4.96,              8.62,             10.99,             15.96,             20.07,             23.22,             24.98,             20.61,             17.20,              9.65,              6.19,              3.99,             13.89
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1990,              5.95,              9.66,             13.60,             17.23,             20.06,             24.17,             24.39,             21.64,             17.49,              9.85,              6.46,              5.11,             14.66
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1991,              5.06,              9.33,             13.91,             14.17,             18.69,             22.53,             27.17,             21.79,             15.34,             10.15,              6.11,              5.27,             14.16
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1992,              6.22,             10.15,             14.35,             17.17,             21.63,             21.81,             22.07,             21.63,             16.00,             10.24,              6.26,              4.43,             14.34
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1993,              5.43,              8.71,             12.89,             17.96,             21.90,             20.74,             18.69,             19.83,             16.33,             10.50,              6.85,              4.73,             13.74
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1994,              4.90,              8.58,             14.48,             16.83,             22.23,             23.92,             23.12,             19.92,             15.57,              9.63,              6.19,              4.82,             14.21
46.48491,-109.70589,ALLSKY_SFC_SW_DWN,1995,              6.38,              9.38,             12.01,             16.67,             19.58,             22.24,             23.28,             21.88,             15.59,              9.89,              5.99,              4.90,             14.01
