-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  36.4264   Longitude -115.3515 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1086.5 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1987,             17.51,             22.63,             29.36,             35.70,             39.95,             41.64,             40.69,             37.18,             31.60,             24.88,             18.90,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1988,             17.49,             22.69,             29.53,             35.83,             40.03,             41.65,             40.64,             37.07,             31.44,             24.71,             18.79,             15.95,             29.67
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1989,             17.58,             22.74,             29.48,             35.79,             40.01,             41.65,             40.65,             37.11,             31.49,             24.76,             18.82,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1990,             17.55,             22.69,             29.42,             35.75,             39.98,             41.64,             40.68,             37.14,             31.55,             24.82,             18.86,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1991,             17.52,             22.64,             29.37,             35.70,             39.96,             41.64,             40.69,             37.18,             31.59,             24.87,             18.90,             15.98,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1992,             17.49,             22.70,             29.54,             35.84,             40.03,             41.65,             40.63,             37.06,             31.44,             24.71,             18.78,             15.95,             29.67
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1993,             17.59,             22.75,             29.49,             35.80,             40.01,             41.65,             40.65,             37.10,             31.49,             24.76,             18.82,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1994,             17.55,             22.70,             29.43,             35.76,             39.99,             41.64,             40.67,             37.14,             31.53,             24.82,             18.85,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1995,             17.52,             22.65,             29.38,             35.71,             39.96,             41.64,             40.68,             37.18,             31.59,             24.86,             18.89,             15.98,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1996,             17.49,             22.71,             29.55,             35.85,             40.04,             41.65,             40.63,             37.06,             31.42,             24.70,             18.77,             15.95,             29.66
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1997,             17.59,             22.76,             29.50,             35.81,             40.01,             41.65,             40.65,             37.09,             31.48,             24.75,             18.81,             15.96,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1998,             17.56,             22.71,             29.44,             35.76,             39.99,             41.64,             40.67,             37.13,             31.53,             24.80,             18.85,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,1999,             17.53,             22.66,             29.39,             35.72,             39.97,             41.64,             40.68,             37.16,             31.58,             24.86,             18.89,             15.98,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2000,             17.49,             22.71,             29.56,             35.86,             40.04,             41.65,             40.63,             37.05,             31.42,             24.69,             18.77,             15.95,             29.66
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2001,             17.59,             22.77,             29.50,             35.81,             40.02,             41.65,             40.65,             37.09,             31.47,             24.74,             18.81,             15.96,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2002,             17.56,             22.71,             29.45,             35.77,             40.00,             41.65,             40.66,             37.12,             31.52,             24.79,             18.85,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2003,             17.53,             22.66,             29.39,             35.73,             39.97,             41.64,             40.68,             37.16,             31.57,             24.85,             18.88,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2004,             17.50,             22.72,             29.57,             35.86,             40.05,             41.65,             40.62,             37.04,             31.41,             24.68,             18.76,             15.95,             29.66
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2005,             17.59,             22.77,             29.51,             35.82,             40.02,             41.65,             40.65,             37.08,             31.46,             24.74,             18.80,             15.96,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2006,             17.56,             22.72,             29.46,             35.78,             40.00,             41.65,             40.66,             37.12,             31.51,             24.79,             18.84,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2007,             17.53,             22.67,             29.40,             35.73,             39.98,             41.64,             40.68,             37.15,             31.56,             24.84,             18.88,             15.97,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2008,             17.46,             22.52,             29.42,             35.76,             40.16,             41.59,             40.70,             37.02,             31.65,             24.63,             18.93,             15.99,             29.67
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2009,             17.61,             22.62,             29.43,             35.66,             39.91,             41.65,             40.65,             37.12,             31.50,             24.88,             18.95,             16.01,             29.70
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2010,             17.53,             22.53,             29.41,             35.56,             39.87,             41.59,             40.69,             37.17,             31.49,             24.76,             19.03,             16.03,             29.67
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2011,             17.57,             22.53,             29.34,             35.62,             39.84,             41.77,             40.77,             37.09,             31.55,             24.81,             18.98,             15.95,             29.69
36.42641,-115.35149,ALLSKY_TOA_SW_DWN,2012,             17.45,             22.55,             29.57,             35.67,             39.87,             41.78,             40.79,             36.97,             31.42,             24.69,             18.88,             16.01,             29.65
