-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.758   Longitude -74.0685 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.75801,-74.06849,WS2M,1981,    1.71,    2.07,    1.77,    1.50,    1.10,    1.08,    1.08,    0.99,    1.20,    1.32,    1.39,    1.53,    1.39
40.75801,-74.06849,WS2M,1982,    2.03,    1.83,    1.60,    1.69,    0.90,    1.01,    0.91,    1.03,    1.01,    1.23,    1.31,    1.38,    1.32
40.75801,-74.06849,WS2M,1983,    1.74,    1.87,    2.00,    1.37,    1.19,    0.86,    0.95,    0.95,    1.10,    1.25,    1.40,    1.71,    1.36
40.75801,-74.06849,WS2M,1984,    1.52,    1.74,    1.97,    1.29,    1.18,    0.97,    0.96,    0.89,    1.07,    1.08,    1.45,    1.39,    1.29
40.75801,-74.06849,WS2M,1985,    1.96,    1.91,    1.81,    1.28,    1.20,    1.10,    1.00,    0.98,    1.07,    1.22,    1.47,    1.55,    1.38
40.75801,-74.06849,WS2M,1986,    1.84,    1.67,    1.65,    1.35,    1.06,    1.17,    0.92,    1.05,    1.09,    1.14,    1.30,    1.50,    1.31
40.75801,-74.06849,WS2M,1987,    1.87,    1.88,    1.58,    1.31,    1.07,    1.01,    0.85,    1.02,    1.07,    1.28,    1.49,    1.55,    1.33
40.75801,-74.06849,WS2M,1988,    1.63,    1.99,    1.66,    1.45,    0.99,    1.07,    0.96,    1.05,    1.04,    1.35,    1.43,    1.52,    1.34
40.75801,-74.06849,WS2M,1989,    1.67,    1.79,    1.70,    1.27,    1.19,    0.94,    0.87,    0.99,    1.16,    1.22,    1.56,    1.62,    1.33
40.75801,-74.06849,WS2M,1990,    1.53,    1.98,    1.52,    1.38,    1.23,    1.00,    1.06,    1.01,    1.09,    1.36,    1.48,    1.60,    1.35
