-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  40.2335   Longitude -82.6808 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 308.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1987,             15.06,             20.39,             27.62,             34.71,             39.70,             41.77,             40.64,             36.51,             30.16,             22.82,             16.52,             13.50,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1988,             15.04,             20.45,             27.81,             34.87,             39.79,             41.78,             40.58,             36.37,             29.98,             22.65,             16.39,             13.48,             28.28
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1989,             15.13,             20.50,             27.74,             34.82,             39.76,             41.77,             40.60,             36.41,             30.04,             22.70,             16.43,             13.48,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1990,             15.10,             20.45,             27.69,             34.77,             39.73,             41.77,             40.61,             36.46,             30.10,             22.76,             16.48,             13.49,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1991,             15.07,             20.39,             27.63,             34.72,             39.71,             41.77,             40.64,             36.50,             30.16,             22.81,             16.52,             13.50,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1992,             15.04,             20.46,             27.82,             34.87,             39.79,             41.78,             40.58,             36.36,             29.98,             22.64,             16.39,             13.48,             28.28
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1993,             15.13,             20.51,             27.76,             34.83,             39.76,             41.78,             40.59,             36.41,             30.03,             22.69,             16.43,             13.48,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1994,             15.10,             20.45,             27.70,             34.78,             39.74,             41.77,             40.61,             36.45,             30.09,             22.75,             16.47,             13.49,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1995,             15.08,             20.40,             27.63,             34.73,             39.71,             41.77,             40.64,             36.49,             30.14,             22.81,             16.51,             13.50,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1996,             15.04,             20.46,             27.83,             34.88,             39.79,             41.78,             40.57,             36.36,             29.97,             22.63,             16.38,             13.48,             28.28
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1997,             15.14,             20.52,             27.77,             34.83,             39.77,             41.78,             40.59,             36.40,             30.02,             22.68,             16.43,             13.48,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1998,             15.10,             20.46,             27.70,             34.79,             39.74,             41.77,             40.61,             36.44,             30.08,             22.75,             16.46,             13.49,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,1999,             15.08,             20.41,             27.65,             34.74,             39.71,             41.77,             40.63,             36.48,             30.14,             22.80,             16.50,             13.50,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2000,             15.05,             20.47,             27.84,             34.89,             39.80,             41.78,             40.57,             36.35,             29.96,             22.62,             16.38,             13.48,             28.28
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2001,             15.14,             20.52,             27.77,             34.84,             39.78,             41.78,             40.58,             36.39,             30.02,             22.68,             16.42,             13.48,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2002,             15.11,             20.47,             27.71,             34.79,             39.75,             41.77,             40.61,             36.44,             30.07,             22.73,             16.46,             13.49,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2003,             15.08,             20.42,             27.66,             34.74,             39.72,             41.77,             40.63,             36.48,             30.13,             22.79,             16.50,             13.50,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2004,             15.05,             20.48,             27.84,             34.90,             39.81,             41.78,             40.56,             36.34,             29.95,             22.61,             16.38,             13.48,             28.28
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2005,             15.15,             20.53,             27.78,             34.85,             39.78,             41.78,             40.58,             36.39,             30.01,             22.67,             16.42,             13.48,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2006,             15.12,             20.48,             27.73,             34.80,             39.75,             41.77,             40.60,             36.43,             30.06,             22.72,             16.46,             13.49,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2007,             15.08,             20.42,             27.66,             34.75,             39.72,             41.77,             40.63,             36.47,             30.12,             22.78,             16.49,             13.50,             28.32
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2008,             14.97,             20.36,             27.68,             34.66,             39.82,             41.60,             40.69,             36.41,             29.95,             22.62,             16.47,             13.41,             28.24
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2009,             15.09,             20.38,             27.67,             34.74,             39.82,             41.56,             40.58,             36.48,             30.18,             22.71,             16.52,             13.41,             28.30
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2010,             15.06,             20.29,             27.62,             34.58,             39.75,             41.74,             40.65,             36.52,             30.04,             22.88,             16.57,             13.43,             28.30
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2011,             15.00,             20.31,             27.60,             34.69,             39.63,             41.50,             40.60,             36.48,             30.17,             22.86,             16.63,             13.43,             28.28
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2012,             14.98,             20.34,             27.71,             34.86,             39.85,             41.59,             40.55,             36.34,             30.16,             22.58,             16.47,             13.37,             28.25
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2013,             15.09,             20.48,             27.64,             34.65,             39.59,             41.56,             40.35,             36.31,             29.86,             22.64,             16.41,             13.33,             28.20
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2014,             15.08,             20.43,             27.74,             34.59,             39.68,             41.46,             40.35,             36.26,             29.97,             22.68,             16.46,             13.37,             28.21
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2015,             15.04,             20.36,             27.60,             34.47,             39.43,             41.54,             40.49,             36.35,             30.11,             22.64,             16.46,             13.36,             28.19
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2016,             14.96,             20.40,             27.79,             34.73,             39.69,             41.52,             40.37,             36.17,             29.82,             22.45,             16.31,             13.34,             28.14
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2017,             15.02,             20.34,             27.60,             34.58,             39.61,             40.10,             40.44,             36.31,             29.99,             22.62,             16.37,             13.34,             28.08
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2018,             15.07,             20.40,             27.55,             34.63,             39.63,             41.52,             40.41,             36.26,             29.93,             22.57,             16.41,             13.35,             28.11
40.23351,-82.68079,ALLSKY_TOA_SW_DWN,2019,             15.04,             20.43,             27.60,             34.59,             39.61,             41.51,             40.43,             36.30,             29.96,             22.62,             16.45,             13.36,             27.97
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1987,              6.07,             10.68,             15.09,             17.31,             21.19,             21.39,             20.66,             16.86,             13.84,             11.55,              7.93,              4.25,             13.91
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1988,              6.28,             10.82,             10.82,             16.21,             21.63,             23.33,             20.23,             17.95,             14.67,              9.78,              5.93,              5.92,             13.63
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1989,              7.12,              8.96,             12.39,             16.07,             15.94,             18.18,             19.42,             18.55,             15.08,             11.41,              6.75,              5.26,             12.95
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1990,              5.51,              8.63,             12.39,             17.13,             16.24,             19.98,             19.92,             18.15,             14.31,             11.04,              7.49,              5.23,             13.02
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1991,              6.26,              9.04,             11.88,             14.82,             19.83,             22.80,             21.62,             18.10,             16.42,             11.02,              6.57,              4.74,             13.61
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1992,              6.09,              8.04,             11.31,             14.12,             18.90,             20.55,             16.66,             18.36,             14.99,             11.42,              4.45,              4.86,             12.49
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1993,              6.14,             10.47,             10.71,             13.16,             19.31,             20.00,             22.14,             18.66,             12.48,             11.20,              6.62,              5.10,             13.02
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1994,              6.18,              8.53,             11.95,             16.54,             20.58,             20.38,             20.18,             17.65,             16.62,             11.82,              6.93,              4.97,             13.55
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1995,              6.15,              8.51,             12.91,             14.41,             18.12,             19.03,             21.83,             19.20,             15.41,             10.72,              6.90,              5.74,             13.28
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1996,              5.89,              8.34,             13.32,             15.69,             17.43,             19.59,             22.10,             20.42,             14.11,             11.50,              7.04,              4.51,             13.35
40.23351,-82.68079,ALLSKY_SFC_SW_DWN,1997,              5.76,              9.04,             11.72,             18.15,             18.39,             20.19,             22.58,             16.70,             15.66,             12.79,              6.42,              5.97,             13.63
