-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  31.01   Longitude -98.7914 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 431.94 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1987,             20.53,             25.31,             31.34,             36.71,             40.06,             41.29,             40.54,             37.81,             33.18,             27.29,             21.81,             19.05,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1988,             20.50,             25.37,             31.49,             36.81,             40.12,             41.29,             40.50,             37.71,             33.05,             27.14,             21.70,             19.03,             31.24
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1989,             20.59,             25.41,             31.44,             36.78,             40.09,             41.29,             40.51,             37.74,             33.09,             27.19,             21.73,             19.03,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1990,             20.56,             25.37,             31.39,             36.75,             40.08,             41.29,             40.53,             37.77,             33.13,             27.23,             21.77,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1991,             20.54,             25.32,             31.35,             36.71,             40.06,             41.29,             40.54,             37.80,             33.18,             27.28,             21.81,             19.05,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1992,             20.50,             25.37,             31.50,             36.82,             40.12,             41.29,             40.50,             37.71,             33.05,             27.13,             21.69,             19.03,             31.24
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1993,             20.59,             25.42,             31.45,             36.78,             40.10,             41.29,             40.51,             37.74,             33.09,             27.18,             21.72,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1994,             20.56,             25.37,             31.40,             36.75,             40.08,             41.29,             40.53,             37.77,             33.13,             27.23,             21.76,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1995,             20.54,             25.32,             31.35,             36.71,             40.06,             41.29,             40.54,             37.79,             33.17,             27.28,             21.80,             19.05,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1996,             20.51,             25.38,             31.50,             36.82,             40.12,             41.29,             40.50,             37.70,             33.04,             27.12,             21.69,             19.03,             31.24
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1997,             20.60,             25.43,             31.46,             36.79,             40.10,             41.29,             40.51,             37.73,             33.08,             27.17,             21.72,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1998,             20.57,             25.38,             31.41,             36.75,             40.09,             41.29,             40.52,             37.76,             33.12,             27.22,             21.76,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,1999,             20.54,             25.33,             31.36,             36.72,             40.07,             41.29,             40.54,             37.79,             33.16,             27.27,             21.79,             19.05,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2000,             20.51,             25.38,             31.51,             36.83,             40.13,             41.29,             40.50,             37.70,             33.03,             27.12,             21.68,             19.03,             31.24
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2001,             20.60,             25.43,             31.46,             36.80,             40.11,             41.29,             40.51,             37.73,             33.07,             27.17,             21.72,             19.03,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2002,             20.57,             25.39,             31.41,             36.76,             40.09,             41.29,             40.52,             37.75,             33.12,             27.21,             21.76,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2003,             20.54,             25.34,             31.37,             36.73,             40.07,             41.29,             40.54,             37.79,             33.16,             27.26,             21.79,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2004,             20.51,             25.39,             31.52,             36.84,             40.13,             41.29,             40.49,             37.69,             33.02,             27.11,             21.68,             19.03,             31.24
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2005,             20.60,             25.44,             31.47,             36.80,             40.11,             41.29,             40.50,             37.72,             33.06,             27.16,             21.71,             19.03,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2006,             20.58,             25.39,             31.42,             36.77,             40.09,             41.29,             40.52,             37.75,             33.11,             27.21,             21.75,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2007,             20.55,             25.34,             31.37,             36.73,             40.08,             41.29,             40.53,             37.78,             33.15,             27.25,             21.78,             19.04,             31.27
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2008,             20.45,             25.23,             31.38,             36.74,             40.08,             41.28,             40.61,             37.59,             33.14,             27.23,             21.77,             19.04,             31.22
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2009,             20.61,             25.12,             31.44,             36.69,             40.12,             41.28,             40.58,             37.69,             33.16,             27.09,             21.76,             19.13,             31.25
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2010,             20.56,             25.13,             31.28,             36.66,             39.89,             41.38,             40.51,             37.74,             33.18,             27.07,             21.84,             19.04,             31.22
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2011,             20.56,             25.14,             31.26,             36.32,             40.09,             41.29,             40.41,             37.80,             33.21,             27.27,             21.86,             19.10,             31.22
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2012,             20.45,             25.19,             31.41,             36.68,             40.02,             41.34,             40.43,             37.63,             32.98,             27.12,             21.80,             19.13,             31.19
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2013,             20.54,             25.11,             31.37,             36.55,             40.01,             41.27,             40.45,             37.47,             32.92,             27.08,             21.52,             18.92,             31.13
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2014,             20.63,             25.21,             31.28,             36.58,             39.87,             41.28,             40.56,             37.32,             32.95,             27.08,             21.68,             19.01,             31.15
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2015,             20.60,             25.16,             31.41,             36.48,             39.83,             41.32,             40.52,             37.52,             33.15,             27.11,             21.70,             19.04,             31.18
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2016,             20.46,             25.16,             31.47,             36.63,             40.00,             41.19,             40.37,             37.44,             32.91,             26.92,             21.60,             19.03,             31.11
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2017,             20.52,             25.16,             31.32,             36.53,             39.95,             41.19,             40.42,             36.31,             33.05,             27.07,             21.63,             19.03,             31.05
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2018,             20.56,             25.27,             31.37,             36.56,             39.97,             41.19,             40.40,             37.50,             33.01,             27.01,             21.67,             19.04,             30.94
31.01001,-98.79139,ALLSKY_TOA_SW_DWN,2019,             20.54,             25.17,             31.32,             36.53,             39.95,             41.19,             40.41,             37.53,             33.05,             27.06,             21.70,             19.04,             31.06
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1987,             11.41,             11.09,             18.34,             23.71,             19.38,             22.66,             23.91,             21.74,             19.35,             16.63,             11.92,              9.64,             17.51
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1988,             10.67,             13.78,             19.45,             22.04,             22.68,             24.42,             22.77,             20.36,             18.64,             15.97,             13.88,              9.70,             17.86
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1989,              9.91,             10.28,             18.46,             22.08,             22.47,             23.81,             24.19,             21.77,             20.33,             17.10,             13.07,             10.88,             17.90
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1990,             11.43,             13.93,             13.87,             18.04,             22.94,             27.70,             21.78,             23.24,             17.20,             17.20,             11.88,              9.99,             17.45
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1991,              8.56,             14.80,             17.57,             20.21,             20.31,             23.76,             24.57,             19.48,             15.93,             15.60,             12.49,              8.00,             16.77
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1992,             10.09,             13.86,             18.29,             20.53,             17.03,             25.60,             25.37,             22.12,             20.34,             17.34,             11.93,              7.94,             17.54
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1993,              8.84,             11.83,             16.47,             20.50,             22.88,             21.60,             26.93,             23.77,             20.26,             15.24,             12.07,              9.47,             17.52
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1994,              9.50,             13.26,             17.35,             19.53,             18.38,             25.50,             25.71,             20.39,             18.03,             14.12,             10.68,              8.08,             16.72
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1995,             10.58,             11.90,             14.15,             20.81,             20.83,             25.23,             24.99,             21.77,             17.07,             17.97,             12.98,             10.69,             17.44
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1996,             12.35,             14.69,             19.58,             23.72,             23.53,             26.56,             23.71,             19.69,             18.71,             15.35,             11.15,             11.73,             18.40
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1997,             11.18,             10.94,             16.45,             17.94,             20.97,             23.82,             26.94,             22.57,             20.18,             15.17,             12.09,             10.53,             17.44
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1998,             10.71,             12.95,             18.05,             25.55,             24.44,             26.62,             26.51,             20.41,             18.78,             14.04,             11.02,              9.33,             18.22
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,1999,             12.28,             16.52,             14.99,             20.80,             20.43,             22.24,             24.76,             24.26,             20.56,             16.05,             14.41,             11.03,             18.19
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2000,             11.91,             14.76,             18.31,             20.92,             23.23,             20.85,             26.78,             23.90,             19.90,             10.29,              9.46,              8.90,             17.44
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2001,              9.96,             11.13,             13.97,             17.34,             21.66,             25.74,             25.46,             19.98,             20.24,             17.04,             10.70,             10.09,             16.97
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2002,             11.47,             15.00,             17.26,             18.06,             21.74,             23.54,             21.06,             23.59,             19.73,             10.52,             12.61,              9.99,             17.05
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2003,             10.86,             11.15,             17.59,             22.11,             21.22,             23.78,             25.29,             21.27,             17.33,             15.12,             10.47,             11.85,             17.38
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2004,              9.98,             12.20,             15.56,             18.92,             21.98,             21.26,             24.84,             20.15,             18.89,             12.27,             10.20,             11.20,             16.47
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2005,              9.75,             10.83,             18.16,             23.29,             19.48,             25.84,             22.81,             20.69,             20.08,             15.30,             14.60,             11.00,             17.67
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2006,             12.37,             13.30,             16.45,             21.36,             25.17,             27.33,             25.20,             23.02,             18.79,             15.90,             12.92,             11.10,             18.60
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2007,              8.65,             13.71,             14.35,             18.78,             17.19,             21.38,             19.83,             22.47,             17.89,             17.10,             11.94,             10.78,             16.18
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2008,             10.62,             15.10,             17.12,             22.68,             24.62,             25.85,             25.01,             20.81,             19.94,             16.58,             12.80,             10.89,             18.50
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2009,             12.40,             15.52,             17.10,             20.10,             22.60,             24.99,             23.12,             23.66,             16.31,             13.17,             12.80,              9.64,             17.62
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2010,             10.28,             11.86,             18.51,             20.11,             21.61,             23.88,             22.98,             23.53,             18.94,             17.60,             13.14,             11.47,             17.86
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2011,             11.00,             15.12,             18.18,             24.24,             22.92,             27.80,             25.11,             23.74,             21.31,             16.66,             12.61,              8.54,             18.94
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2012,             12.20,             13.76,             16.13,             21.85,             23.24,             25.21,             24.62,             22.90,             19.05,             15.90,             13.39,             10.44,             18.23
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2013,             11.30,             15.91,             19.50,             20.40,             21.42,             25.09,             23.61,             23.67,             18.84,             14.62,             10.97,             10.13,             17.96
31.01001,-98.79139,ALLSKY_SFC_SW_DWN,2014,             13.06,             13.33,             17.45,             20.97,             22.12,             22.49,             24.10,             23.27,             17.19,             17.61,             11.84,              7.63,             17.62
