-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  47.1174   Longitude -119.6307 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 564.69 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1987,             10.76,             16.28,             24.26,             32.62,             38.91,             41.68,             40.23,             34.96,             27.30,             18.99,             12.29,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1988,             10.73,             16.35,             24.48,             32.80,             39.03,             41.69,             40.15,             34.80,             27.10,             18.80,             12.15,              9.20,             25.63
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1989,             10.83,             16.41,             24.41,             32.74,             38.99,             41.69,             40.18,             34.85,             27.16,             18.86,             12.20,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1990,             10.80,             16.35,             24.34,             32.69,             38.95,             41.69,             40.21,             34.90,             27.23,             18.92,             12.24,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1991,             10.77,             16.29,             24.27,             32.62,             38.91,             41.68,             40.23,             34.95,             27.29,             18.99,             12.28,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1992,             10.74,             16.36,             24.48,             32.81,             39.03,             41.70,             40.15,             34.78,             27.09,             18.79,             12.15,              9.19,             25.62
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1993,             10.83,             16.42,             24.41,             32.76,             39.00,             41.69,             40.17,             34.84,             27.15,             18.85,             12.19,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1994,             10.80,             16.36,             24.34,             32.69,             38.96,             41.69,             40.20,             34.89,             27.22,             18.92,             12.23,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1995,             10.77,             16.30,             24.27,             32.63,             38.92,             41.68,             40.23,             34.95,             27.28,             18.98,             12.27,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1996,             10.74,             16.37,             24.49,             32.82,             39.04,             41.70,             40.14,             34.78,             27.08,             18.78,             12.14,              9.19,             25.63
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1997,             10.83,             16.42,             24.42,             32.76,             39.00,             41.69,             40.17,             34.83,             27.14,             18.84,             12.18,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1998,             10.81,             16.36,             24.36,             32.70,             38.96,             41.69,             40.19,             34.88,             27.21,             18.91,             12.23,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,1999,             10.77,             16.31,             24.30,             32.64,             38.93,             41.68,             40.22,             34.94,             27.27,             18.97,             12.27,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2000,             10.75,             16.37,             24.51,             32.83,             39.04,             41.70,             40.14,             34.77,             27.07,             18.77,             12.14,              9.19,             25.63
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2001,             10.84,             16.43,             24.44,             32.77,             39.01,             41.69,             40.16,             34.82,             27.13,             18.84,             12.18,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2002,             10.81,             16.37,             24.37,             32.71,             38.97,             41.69,             40.19,             34.87,             27.20,             18.90,             12.22,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2003,             10.78,             16.31,             24.30,             32.65,             38.93,             41.68,             40.22,             34.92,             27.26,             18.96,             12.26,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2004,             10.75,             16.38,             24.52,             32.84,             39.05,             41.70,             40.13,             34.76,             27.06,             18.77,             12.13,              9.19,             25.63
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2005,             10.85,             16.44,             24.45,             32.78,             39.01,             41.69,             40.16,             34.81,             27.12,             18.83,             12.18,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2006,             10.82,             16.38,             24.37,             32.72,             38.97,             41.69,             40.18,             34.86,             27.19,             18.89,             12.21,              9.20,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2007,             10.78,             16.32,             24.30,             32.66,             38.94,             41.69,             40.22,             34.92,             27.26,             18.95,             12.26,              9.21,             25.67
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2008,             10.65,             16.34,             24.39,             32.61,             38.80,             41.76,             40.11,             34.85,             27.09,             18.85,             12.16,              9.23,             25.59
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2009,             10.75,             16.44,             24.34,             32.53,             38.91,             41.77,             40.18,             34.99,             27.13,             18.92,             12.17,              9.25,             25.66
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2010,             10.72,             16.31,             24.27,             32.53,             38.80,             41.61,             40.19,             35.05,             27.23,             18.97,             12.24,              9.25,             25.64
47.11741,-119.63069,ALLSKY_TOA_SW_DWN,2011,             10.68,             16.26,             24.13,             32.57,             38.66,             41.66,             40.22,             35.03,             27.34,             19.08,             12.27,              9.25,             25.64
