-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  38.2547   Longitude -81.6671 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 355.04 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1987,             16.29,             21.52,             28.51,             35.22,             39.85,             41.72,             40.69,             36.86,             30.90,             23.86,             17.72,             14.74,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1988,             16.26,             21.58,             28.69,             35.37,             39.93,             41.73,             40.62,             36.74,             30.74,             23.69,             17.60,             14.72,             28.99
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1989,             16.36,             21.64,             28.63,             35.32,             39.90,             41.73,             40.64,             36.78,             30.78,             23.75,             17.63,             14.72,             29.02
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1990,             16.33,             21.58,             28.57,             35.28,             39.88,             41.73,             40.66,             36.82,             30.84,             23.80,             17.68,             14.73,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1991,             16.30,             21.53,             28.52,             35.23,             39.85,             41.72,             40.68,             36.86,             30.90,             23.86,             17.71,             14.74,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1992,             16.27,             21.59,             28.70,             35.38,             39.93,             41.73,             40.62,             36.74,             30.72,             23.68,             17.59,             14.72,             28.99
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1993,             16.36,             21.64,             28.64,             35.33,             39.91,             41.73,             40.64,             36.77,             30.78,             23.74,             17.63,             14.72,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1994,             16.33,             21.59,             28.58,             35.29,             39.88,             41.73,             40.66,             36.81,             30.83,             23.79,             17.67,             14.73,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1995,             16.30,             21.53,             28.52,             35.24,             39.85,             41.72,             40.68,             36.85,             30.89,             23.85,             17.71,             14.74,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1996,             16.27,             21.60,             28.71,             35.38,             39.94,             41.73,             40.62,             36.73,             30.71,             23.68,             17.59,             14.72,             28.99
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1997,             16.36,             21.65,             28.65,             35.34,             39.91,             41.73,             40.64,             36.77,             30.77,             23.74,             17.62,             14.72,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1998,             16.34,             21.60,             28.59,             35.29,             39.88,             41.73,             40.66,             36.81,             30.82,             23.79,             17.66,             14.73,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,1999,             16.30,             21.54,             28.53,             35.25,             39.86,             41.72,             40.67,             36.84,             30.88,             23.84,             17.70,             14.74,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,2000,             16.27,             21.61,             28.71,             35.39,             39.94,             41.74,             40.61,             36.72,             30.71,             23.67,             17.58,             14.72,             28.99
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,2001,             16.37,             21.65,             28.66,             35.35,             39.91,             41.73,             40.63,             36.76,             30.76,             23.72,             17.62,             14.72,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,2002,             16.34,             21.60,             28.60,             35.30,             39.89,             41.73,             40.66,             36.80,             30.82,             23.78,             17.66,             14.73,             29.03
38.25471,-81.66709,ALLSKY_TOA_SW_DWN,2003,             16.31,             21.55,             28.54,             35.26,             39.87,             41.73,             40.67,             36.84,             30.87,             23.83,             17.70,             14.74,             29.03
