-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  44.696   Longitude -89.9108 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 373.26 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1987,             12.60,             18.06,             25.74,             33.57,             39.29,             41.76,             40.45,             35.68,             28.58,             20.67,             14.10,             11.04,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1988,             12.57,             18.13,             25.95,             33.75,             39.40,             41.77,             40.38,             35.52,             28.39,             20.48,             13.97,             11.01,             26.80
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1989,             12.67,             18.19,             25.89,             33.69,             39.37,             41.77,             40.40,             35.58,             28.45,             20.54,             14.01,             11.02,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1990,             12.64,             18.13,             25.82,             33.63,             39.34,             41.77,             40.43,             35.62,             28.51,             20.60,             14.06,             11.03,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1991,             12.61,             18.07,             25.76,             33.58,             39.30,             41.76,             40.45,             35.67,             28.57,             20.66,             14.10,             11.04,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1992,             12.57,             18.14,             25.96,             33.75,             39.41,             41.77,             40.38,             35.51,             28.37,             20.47,             13.97,             11.01,             26.80
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1993,             12.67,             18.19,             25.90,             33.70,             39.38,             41.77,             40.40,             35.56,             28.44,             20.53,             14.01,             11.02,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1994,             12.64,             18.14,             25.83,             33.64,             39.34,             41.77,             40.43,             35.62,             28.50,             20.59,             14.05,             11.03,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1995,             12.61,             18.08,             25.76,             33.59,             39.31,             41.77,             40.45,             35.66,             28.56,             20.65,             14.09,             11.04,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1996,             12.58,             18.15,             25.97,             33.76,             39.41,             41.78,             40.37,             35.51,             28.37,             20.46,             13.97,             11.01,             26.80
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1997,             12.68,             18.20,             25.90,             33.71,             39.38,             41.77,             40.40,             35.56,             28.43,             20.52,             14.01,             11.02,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1998,             12.65,             18.14,             25.84,             33.65,             39.35,             41.77,             40.42,             35.61,             28.49,             20.58,             14.04,             11.03,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,1999,             12.62,             18.09,             25.78,             33.59,             39.32,             41.77,             40.45,             35.65,             28.55,             20.64,             14.09,             11.04,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2000,             12.59,             18.15,             25.98,             33.77,             39.42,             41.78,             40.37,             35.50,             28.36,             20.46,             13.96,             11.01,             26.80
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2001,             12.68,             18.21,             25.91,             33.72,             39.38,             41.77,             40.39,             35.55,             28.42,             20.51,             14.00,             11.02,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2002,             12.65,             18.15,             25.85,             33.66,             39.35,             41.77,             40.42,             35.60,             28.48,             20.57,             14.04,             11.03,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2003,             12.62,             18.10,             25.78,             33.60,             39.32,             41.77,             40.44,             35.65,             28.55,             20.64,             14.08,             11.04,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2004,             12.59,             18.16,             25.99,             33.78,             39.42,             41.78,             40.36,             35.49,             28.35,             20.44,             13.95,             11.01,             26.80
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2005,             12.69,             18.22,             25.92,             33.72,             39.39,             41.77,             40.39,             35.54,             28.41,             20.50,             14.00,             11.02,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2006,             12.66,             18.16,             25.86,             33.67,             39.36,             41.77,             40.41,             35.59,             28.47,             20.57,             14.04,             11.03,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2007,             12.62,             18.10,             25.79,             33.61,             39.32,             41.77,             40.44,             35.64,             28.54,             20.63,             14.08,             11.04,             26.84
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2008,             12.44,             18.05,             25.71,             33.58,             39.26,             41.65,             40.33,             35.45,             28.46,             20.49,             14.01,             10.99,             26.72
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2009,             12.57,             18.11,             25.70,             33.63,             39.19,             41.81,             40.31,             35.53,             28.50,             20.53,             14.00,             10.98,             26.78
44.69601,-89.91079,ALLSKY_TOA_SW_DWN,2010,             12.52,             17.94,             25.64,             33.53,             39.15,             41.82,             40.27,             35.73,             28.53,             20.63,             14.11,             10.97,             26.78
