LAT,LON,YEAR,MONTH,STATE,HUMIDITY,PRECIP,RADIATION,SFCWIND,TEMP
27.25,-81.75,2020,1,FLORIDA,73.6726,24.8589528,153.1741,3.1499286,15.0173645
27.25,-81.75,2020,2,FLORIDA,77.48785,47.080755,164.92053,2.8563533,19.96524
27.25,-81.75,2020,3,FLORIDA,72.91434,102.436851,223.03792,3.142045,14.914886
27.25,-81.75,2020,4,FLORIDA,71.52691,75.668034,269.53232,3.0300107,19.695618
27.25,-81.75,2020,5,FLORIDA,72.69482,107.25444,230.25208,3.1330218,22.423462
27.25,-81.75,2020,6,FLORIDA,74.10682,119.450112,266.17288,2.3926818,24.930878
27.25,-81.75,2020,7,FLORIDA,76.42936,137.84742,249.17685,2.5805824,25.983948
27.25,-81.75,2020,8,FLORIDA,75.81068,144.76377,249.2799,2.3384163,26.566956
27.25,-81.75,2020,9,FLORIDA,80.31654,155.27235,207.37393,2.507777,25.4729
27.25,-81.75,2020,10,FLORIDA,79.12427,63.626811,167.96413,3.0661254,23.513214
27.25,-81.75,2020,11,FLORIDA,80.404495,68.703204,136.18588,2.777129,18.172424
27.25,-81.75,2020,12,FLORIDA,80.73832,62.498904,141.30714,2.8713982,14.77179
27.25,-81.75,2021,1,FLORIDA,76.71578,57.975534,153.6035,3.0763683,15.154236
27.25,-81.75,2021,2,FLORIDA,80.69191,107.563848,158.36664,3.1372766,15.306732
27.25,-81.75,2021,3,FLORIDA,71.71274,35.785155,225.60767,2.6674383,18.06836
27.25,-81.75,2021,4,FLORIDA,73.93618,124.51779,232.74078,3.351691,18.31314
27.25,-81.75,2021,5,FLORIDA,76.44381,95.811423,263.3345,2.3078861,22.88147
27.25,-81.75,2021,6,FLORIDA,71.68138,99.52047,231.29784,2.4620855,24.74591
27.25,-81.75,2021,7,FLORIDA,80.36997,222.18918,237.62009,2.1768522,25.543488
27.25,-81.75,2021,8,FLORIDA,88.26154,365.89059,230.10127,2.1508825,25.272919
27.25,-81.75,2021,9,FLORIDA,82.71929,105.469209,226.58502,2.88393,24.47107
27.25,-81.75,2021,10,FLORIDA,82.84463,95.255922,170.99396,3.3273315,22.07071
27.25,-81.75,2021,11,FLORIDA,82.977104,95.424987,145.79337,2.6777759,19.916473
27.25,-81.75,2021,12,FLORIDA,77.785965,16.8243582,141.40121,2.8165119,14.615204
27.25,-81.75,2022,1,FLORIDA,79.371994,95.410344,147.48154,2.9089882,13.144653
27.25,-81.75,2022,2,FLORIDA,84.40628,91.620477,161.22331,2.3908663,18.901215
27.25,-81.75,2022,3,FLORIDA,76.55713,46.215741,208.6625,2.542171,19.004425
27.25,-81.75,2022,4,FLORIDA,69.92569,70.981206,274.31012,2.8483443,19.977692
27.25,-81.75,2022,5,FLORIDA,68.23934,65.43657,229.58842,2.8318002,24.291626
27.25,-81.75,2022,6,FLORIDA,74.34372,142.3185,267.77203,2.321276,25.907501
27.25,-81.75,2022,7,FLORIDA,86.1071,276.40143,235.9671,2.0358412,25.41977
